submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
646789,WSPark,23.98 (1),0.6846 (1),0.446 (4),0.0 (2),1.0 (3),
644020,lyh,23.84 (2),0.6740 (3),2.100 (8),0.0 (2),0.0 (2),
645478,myungsub,23.82 (3),0.6784 (2),0.299 (3),0.0 (2),1.0 (3),
640929,kapendragon,23.50 (4),0.6694 (4),1.350 (6),0.0 (2),1.0 (3),
644426,tensorcat,23.42 (5),0.6626 (5),0.900 (5),0.0 (2),0.0 (2),
643920,iim-nike,22.73 (6),0.6324 (7),45.000 (9),0.0 (2),1.0 (3),
643972,Ruikang_Xu,22.65 (7),0.6351 (6),1.450 (7),1.0 (1),0.0 (2),
644373,zyxiao,22.10 (8),0.6189 (8),-1.000 (1),-1.0 (3),-1.0 (1),
607290,SeungjunNah,19.72 (9),0.4781 (9),0.010 (2),1.0 (1),0.0 (2),
639348,tongtong,9.05 (10),0.2280 (10),0.010 (2),1.0 (1),0.0 (2),
