submission_pk,User,Loss
937250,___baseline___,4.823 (1),
939090,KunWu,7.868 (2),
949812,Ag2S,9.047 (3),
941876,TeamQ,9.768 (4),
950176,Rookie_,9.776 (5),
937267,lthiet,9.945 (6),
932779,xingzhesun,9.960 (7),
951345,zzgsam,9.968 (8),
932709,___zero-baseline___,10.000 (9),
932638,___starter-kit-baseline___,10.022 (10),
934819,niulijinliang,10.048 (11),
934309,Vamsi995,10.048 (11),
934816,valavanca,10.111 (12),
941667,GodofWar,12.412 (13),
936563,syeehyn06,27.936 (14),
