submission_pk,User,T1+T2 nDCG@10 (test),T1+T2 HR@10 (test),T1+T2 nDCG@10 (validation),T1+T2 HR@10 (validation),T1 nDCG@10 (test),T2 nDCG@10 (test)
1076291,harutaro,0.6087 (53),0.7082 (51),0.6096 (48),0.7096 (49),0.6752 (50),0.5759 (56),
1074711,Wa,0.6074 (54),0.6975 (56),0.6127 (45),0.7068 (51),0.6777 (48),0.5727 (57),
1048514,zhushiyang,0.6070 (55),0.7024 (52),0.6118 (46),0.7063 (53),0.6664 (54),0.5777 (52),
1044864,yinzifenjieji,0.6041 (56),0.7425 (36),0.8814 (3),0.9401 (6),0.6520 (60),0.5805 (51),
1044972,jchia,0.6008 (57),0.6764 (68),0.8649 (4),0.9743 (4),0.6844 (45),0.5598 (63),
1063739,Hungry_pku,0.6006 (58),0.7008 (54),0.6105 (47),0.7108 (47),0.6494 (62),0.5766 (55),
1040619,mojinyu123,0.5984 (59),0.6978 (55),0.6050 (49),0.7097 (48),0.6598 (58),0.5682 (58),
1058813,tyvuw,0.5968 (60),0.6859 (61),1.0000 (1),1.0000 (1),0.6691 (52),0.5613 (62),
1055994,hgyme,0.5918 (61),0.6855 (62),0.5588 (68),0.7127 (46),0.6570 (59),0.5597 (64),
1043852,dhy,0.5898 (62),0.7024 (52),0.5975 (50),0.7135 (45),0.6472 (64),0.5616 (61),
1069959,tuan.bm.00,0.5874 (63),0.6749 (70),0.5916 (52),0.6843 (62),0.6497 (61),0.5568 (66),
1048953,qing_yi_su,0.5873 (64),0.6836 (63),0.5924 (51),0.6940 (56),0.6364 (73),0.5631 (60),
1068048,Kiyuhumi,0.5864 (65),0.6737 (71),0.5878 (55),0.6805 (66),0.6621 (57),0.5491 (70),
1035605,fotol,0.5845 (66),0.6753 (69),0.5249 (83),0.6231 (81),0.6389 (69),0.5577 (65),
1071012,truongvu2000f1,0.5824 (67),0.6893 (59),0.5916 (53),0.6974 (54),0.6446 (66),0.5518 (68),
1075119,opcavs,0.5822 (68),0.6706 (73),0.5848 (57),0.6786 (67),0.6454 (65),0.5511 (69),
1071043,thanhmessi,0.5808 (69),0.6897 (58),0.5869 (56),0.6935 (57),0.6365 (72),0.5534 (67),
1021079,ginkgo,0.5774 (70),0.7165 (44),0.7534 (10),0.9328 (7),0.6055 (85),0.5636 (59),
1066735,dung.nt183507,0.5734 (71),0.6557 (79),0.5787 (60),0.6623 (70),0.6406 (68),0.5404 (72),
1066932,messithanh2k,0.5722 (72),0.6765 (67),0.5813 (58),0.6896 (58),0.6370 (71),0.5403 (73),
1075605,mincheol,0.5717 (73),0.6728 (72),0.5750 (61),0.6811 (65),0.6492 (63),0.5336 (79),
1067628,jeremybka,0.5711 (74),0.6787 (66),0.9285 (2),0.9995 (2),0.6250 (78),0.5447 (71),
1074303,HuZheng,0.5709 (75),0.6804 (64),0.7615 (9),0.8667 (10),0.6385 (70),0.5376 (76),
1050749,lin_lin,0.5702 (76),0.6572 (78),0.5747 (62),0.6638 (69),0.6439 (67),0.5340 (78),
1042332,gcc_microsoft,0.5664 (77),0.6935 (57),0.4451 (90),0.5925 (87),0.7016 (36),0.4999 (92),
1063575,truongvu2000nd,0.5657 (78),0.6685 (74),0.5715 (63),0.6817 (63),0.6301 (76),0.5340 (77),
1037023,saltedfish,0.5628 (79),0.6612 (76),0.5641 (66),0.6603 (71),0.6283 (77),0.5306 (80),
1073529,Nezumi,0.5623 (80),0.6460 (80),0.5667 (65),0.6491 (73),0.6348 (74),0.5266 (83),
1065384,psm1206,0.5614 (81),0.6599 (77),0.5677 (64),0.6748 (68),0.6066 (83),0.5392 (75),
1025702,MaurizioFD,0.5560 (82),0.6753 (69),0.5539 (71),0.6852 (60),0.5895 (86),0.5395 (74),
1065451,xuananhbka,0.5533 (83),0.6457 (81),0.5624 (67),0.6544 (72),0.6158 (80),0.5225 (84),
1031974,orgin_star,0.5522 (84),0.6268 (84),0.5557 (70),0.6380 (76),0.6317 (75),0.5132 (88),
1070446,deThayLinhNV,0.5472 (85),0.6863 (60),0.8180 (6),0.9880 (3),0.5845 (87),0.5288 (81),
1073982,hainguyentado,0.5470 (86),0.6244 (86),0.7748 (7),0.8916 (8),0.6138 (81),0.5142 (87),
1041013,candi,0.5460 (87),0.6354 (83),0.5520 (72),0.6479 (74),0.5823 (88),0.5281 (82),
1031518,MeeCreeps,0.5453 (88),0.6357 (82),0.5469 (75),0.6390 (75),0.6059 (84),0.5155 (86),
1070359,TerryNguyen,0.5425 (89),0.6223 (88),0.6536 (26),0.7540 (34),0.6126 (82),0.5080 (90),
1065170,dung.nt,0.5386 (90),0.6091 (91),0.5416 (77),0.6169 (84),0.6208 (79),0.4981 (95),
1068884,fatcatmat,0.5379 (91),0.6794 (65),0.5444 (76),0.6858 (59),0.5703 (93),0.5220 (85),
1026582,Marlesson,0.5315 (92),0.6677 (75),0.5405 (78),0.6816 (64),0.5700 (94),0.5126 (89),
1039539,xiaotang,0.5300 (93),0.6149 (90),0.5359 (79),0.6262 (80),0.5780 (89),0.5063 (91),
1042862,explore16,0.5245 (94),0.6039 (94),0.5326 (81),0.6222 (82),0.5751 (91),0.4996 (93),
1042853,moyuzai,0.5235 (95),0.6039 (94),0.1028 (108),0.2206 (105),0.5747 (92),0.4983 (94),
1039146,titimike,0.5235 (96),0.6044 (93),0.5306 (82),0.6220 (83),0.5760 (90),0.4976 (96),
1032013,Yina,0.5042 (97),0.6245 (85),0.5082 (84),0.6320 (78),0.5256 (96),0.4938 (97),
1067654,SharathMS,0.4789 (98),0.6198 (89),0.4819 (86),0.6314 (79),0.5073 (97),0.4649 (98),
1025900,StarrySky,0.4656 (99),0.5975 (96),0.4774 (87),0.6138 (85),0.4835 (98),0.4568 (99),
1036925,hvv,0.4579 (100),0.6228 (87),0.5478 (74),0.6963 (55),0.6655 (55),0.3557 (106),
1011563,darkvader,0.4478 (101),0.5695 (97),0.4531 (88),0.5786 (89),0.4458 (99),0.4488 (100),
1055179,Jason306,0.4435 (102),0.6029 (95),0.4491 (89),0.6113 (86),0.4351 (100),0.4476 (101),
1059626,firstshot,0.4329 (103),0.5279 (101),0.0549 (112),0.1275 (110),0.0569 (120),0.6179 (38),
1030623,xuxianghong,0.4008 (104),0.5635 (98),0.4034 (91),0.5667 (90),0.4119 (102),0.3953 (103),
1026970,hh_mss,0.3905 (105),0.5468 (99),0.2300 (105),0.3585 (103),0.5351 (95),0.3194 (112),
1069624,HHrecode,0.3870 (106),0.5234 (102),0.6560 (23),0.8226 (11),0.4019 (103),0.3797 (104),
1040704,simon_lee,0.3770 (107),0.4324 (112),0.3755 (92),0.4321 (101),0.4316 (101),0.3502 (107),
1013414,Xinyan_Fan,0.3753 (108),0.6075 (92),0.3588 (94),0.5910 (88),0.3274 (107),0.3989 (102),
1036946,Co,0.3642 (109),0.5303 (100),0.3691 (93),0.5347 (91),0.3630 (104),0.3647 (105),
1037021,userx,0.3428 (110),0.4931 (105),0.3393 (96),0.4977 (95),0.3323 (105),0.3480 (109),
1071469,Prachi,0.3418 (111),0.4950 (104),0.3468 (95),0.5034 (92),0.3278 (106),0.3487 (108),
1055633,ircurus,0.3418 (111),0.4950 (104),0.3468 (95),0.5034 (92),0.3278 (106),0.3487 (108),
1012301,jcc22,0.3216 (112),0.4779 (110),0.3191 (98),0.4792 (99),0.3178 (108),0.3234 (111),
1076334,namson231,0.3186 (113),0.4845 (107),0.3200 (97),0.4892 (97),0.3169 (109),0.3194 (112),
1049437,ZiweiWang,0.3186 (113),0.4845 (107),0.3200 (97),0.4892 (97),0.3169 (109),0.3194 (112),
1036954,Mybank_Intern,0.3186 (113),0.4845 (107),0.3200 (97),0.4892 (97),0.3169 (109),0.3194 (112),
1031962,king2727,0.3186 (113),0.4845 (107),0.3200 (97),0.4892 (97),0.3169 (109),0.3194 (112),
1024478,hyez,0.3186 (113),0.4845 (107),0.3200 (97),0.4892 (97),0.3169 (109),0.3194 (112),
1015370,mercileesb,0.3186 (113),0.4845 (107),0.3200 (97),0.4892 (97),0.3169 (109),0.3194 (112),
1013151,xueqiao,0.3186 (113),0.4845 (107),0.3200 (97),0.4892 (97),0.3169 (109),0.3194 (112),
1009174,xmrec_no_src_baseline,0.3186 (113),0.4845 (107),0.3200 (97),0.4892 (97),0.3169 (109),0.3194 (112),
1046818,yuliahywang,0.3148 (114),0.4838 (108),0.3160 (100),0.4897 (96),0.3053 (110),0.3194 (112),
1037087,gzy,0.3140 (115),0.5014 (103),0.3165 (99),0.5004 (94),0.2894 (112),0.3261 (110),
1049067,asuer,0.3120 (116),0.4950 (104),0.3151 (101),0.5031 (93),0.3015 (111),0.3172 (113),
1064689,Snail_RS,0.3022 (117),0.4848 (106),0.1238 (107),0.1981 (106),0.2890 (113),0.3087 (114),
1025672,mdrobin,0.3022 (117),0.4848 (106),0.1238 (107),0.1981 (106),0.2890 (113),0.3087 (114),
1009171,xmrec_s1_s2_s3_baseline,0.3022 (117),0.4848 (106),0.2309 (104),0.3695 (102),0.2890 (113),0.3087 (114),
1015259,miladTechShow,0.2984 (118),0.4803 (109),0.2949 (103),0.4755 (100),0.2883 (114),0.3035 (115),
1009194,xmrec_s1_baseline,0.2984 (118),0.4803 (109),0.2949 (103),0.4755 (100),0.2883 (114),0.3035 (115),
1064949,thi_cho_vui,0.2932 (119),0.4778 (111),0.2951 (102),0.4814 (98),0.2825 (115),0.2984 (116),
1076083,Ryoichi,0.1995 (120),0.3390 (113),0.2006 (106),0.3486 (104),0.2009 (116),0.1988 (117),
1060719,manhtientran,0.0809 (121),0.1696 (114),0.0823 (109),0.1731 (107),0.0831 (117),0.0798 (118),
1035349,ryujin,0.0656 (122),0.1460 (115),0.0702 (110),0.1539 (108),0.0698 (119),0.0636 (119),
1041820,ColdWheels,0.0630 (123),0.1393 (116),0.0699 (111),0.1527 (109),0.0746 (118),0.0573 (120),
1043605,lucifffer,0.0206 (124),0.0364 (117),0.0196 (113),0.0363 (111),0.0545 (121),0.0000 (121),
