submission_pk,User,AP@0.50,AP@0.25,AP@0.75
539139,guan,0.711765 (1),0.806882 (1),0.422582 (1),
538727,VIP,0.646979 (2),0.762855 (2),0.246049 (6),
535831,ruofeng,0.614664 (3),0.746472 (3),0.251044 (4),
521418,phalanx,0.582473 (4),0.687230 (6),0.324169 (2),
531917,Dimeblade,0.572876 (5),0.688027 (5),0.254229 (3),
536331,Kaulquappe,0.545927 (6),0.644520 (7),0.251025 (5),
517437,IPHD_baselines,0.541987 (7),0.689354 (4),0.159370 (7),
539481,li8bot,0.420342 (8),0.580177 (8),0.138283 (8),
539095,lukaz,0.364216 (9),0.556075 (9),0.006235 (10),
539081,tteepe,0.257649 (10),0.402885 (10),0.074678 (9),
538944,Mingbo_Hong,0.064328 (11),0.298955 (11),0.000600 (11),
537404,xxxxxx,0.007056 (12),0.039558 (12),0.000088 (12),
532703,carmen,0.000007 (13),0.002831 (13),0.000000 (13),
532665,cairangxianmu,0.000007 (13),0.002831 (13),0.000000 (13),
