submission_pk,User,F1,recall,precision
384093,doogyb,0.8439 (1),0.8190 (2),0.8704 (1),
384139,ankitvad,0.6953 (4),0.6176 (5),0.7953 (2),
384136,lanman,0.7246 (3),0.6758 (3),0.7809 (3),
383781,evrog,0.6898 (5),0.6326 (4),0.7585 (4),
383872,Pramanick,0.8261 (2),0.9402 (1),0.7367 (5),
