submission_pk,User,Accuracy (80% percentile),Accuracy (median),Accuracy (mean),Duration
475200,JTan,0.9804 (1),0.9186 (1),0.8958 (1),0.00 (10),
475188,alheld,0.9626 (2),0.8820 (3),0.8516 (2),0.00 (13),
475242,wellatiger,0.9604 (3),0.8864 (2),0.8499 (3),0.00 (3),
475194,srettie,0.9523 (4),0.8688 (4),0.8251 (6),0.00 (9),
475252,ekhoda,0.9521 (5),0.8654 (5),0.8246 (7),0.00 (8),
475098,HolyBayes,0.9487 (6),0.8540 (7),0.8427 (5),0.00 (1),
475186,jhoya,0.9389 (7),0.8636 (6),0.8437 (4),0.00 (2),
474783,mrartemev,0.9333 (8),0.8005 (9),0.7369 (10),0.00 (14),
475144,vbelavin,0.9317 (9),0.7953 (10),0.7343 (11),0.00 (12),
475172,BumpHunter,0.9260 (10),0.8150 (8),0.7673 (8),0.00 (7),
475162,fcormier,0.8405 (11),0.7510 (11),0.7372 (9),0.00 (5),
475155,mmajewsk,0.7195 (12),0.5830 (12),0.5880 (12),0.00 (11),
474844,axcel,0.0000 (13),0.0000 (13),0.0002 (13),0.00 (6),
474854,akucia,0.0000 (13),0.0000 (13),0.0000 (14),0.00 (1),
475129,thaarres,0.0000 (13),0.0000 (13),0.0000 (14),0.00 (4),
