submission_pk,User,Mean joint error (procrustes alignment),Mean joint error (scale and trans alignment),Mean joint AUC (procrustes alignment),Mean joint AUC (scale and trans alignment),Mesh error (procrustes alignment),Mesh error AUC (procrustes alignment),F-score@5mm (procrustes alignment),F-score@15mm (procrustes alignment)
841297,algcd,0.81 (1),15.31 (40),0.838 (1),0.069 (38),0.84 (2),0.831 (2),0.577 (2),0.970 (1),
1068036,GR,0.86 (2),15.18 (38),0.829 (2),0.072 (36),0.84 (1),0.832 (1),0.586 (1),0.970 (2),
1113002,namepllet,0.91 (3),2.40 (5),0.819 (3),0.557 (7),0.90 (3),0.819 (3),0.561 (3),0.962 (5),
813966,aspurr,0.91 (4),1.86 (1),0.819 (4),0.653 (1),0.92 (4),0.816 (4),0.555 (4),0.967 (3),
965966,sean_9,0.92 (5),2.42 (7),0.816 (5),0.561 (5),0.94 (6),0.812 (6),0.538 (6),0.957 (8),
953512,daiheng,0.94 (6),14.84 (37),0.813 (6),0.072 (37),0.92 (5),0.815 (5),0.538 (7),0.963 (4),
1119995,pfren,0.96 (7),2.37 (4),0.809 (7),0.556 (8),0.95 (7),0.809 (8),0.530 (8),0.957 (7),
1062848,HybrIK,0.99 (8),2.21 (2),0.802 (8),0.596 (2),0.96 (8),0.809 (7),0.550 (5),0.959 (6),
1141203,overleaf,1.01 (9),2.36 (3),0.798 (9),0.573 (4),1.07 (16),0.787 (16),0.471 (17),0.947 (13),
1042328,yao24,1.02 (10),2.93 (13),0.797 (10),0.507 (15),0.98 (9),0.804 (9),0.529 (9),0.950 (11),
915747,handtest,1.02 (10),2.93 (13),0.797 (10),0.507 (15),0.98 (9),0.804 (9),0.529 (9),0.950 (11),
1106653,zijinxuxu,1.03 (11),3.86 (26),0.794 (11),0.403 (20),1.01 (12),0.797 (12),0.502 (13),0.951 (9),
1120779,Raywit,1.04 (12),2.96 (14),0.792 (13),0.501 (16),1.01 (10),0.799 (10),0.515 (10),0.948 (12),
729336,uriwolln,1.04 (13),18.70 (41),0.792 (14),0.053 (41),5.47 (36),0.112 (36),0.000 (36),0.013 (36),
1076890,hogrp,1.04 (14),2.41 (6),0.793 (12),0.559 (6),1.04 (13),0.794 (13),0.507 (11),0.945 (14),
1086632,ziania,1.06 (15),3.65 (20),0.788 (15),0.377 (23),1.06 (15),0.788 (15),0.481 (15),0.937 (17),
569201,bullet,1.07 (16),3.04 (15),0.788 (16),0.494 (17),1.06 (14),0.790 (14),0.506 (12),0.942 (15),
