submission_pk,User,F_0.5,P,R,TP,FP,FN
889669,maksym.tarnavskyi,76.05 (1),84.44 (1),54.42 (14),2953.0 (14),544.0 (15),2473.0 (3),
1012130,AlexeySorokin,75.05 (2),82.51 (2),55.11 (9),3019.0 (10),640.0 (14),2459.0 (5),
689632,fstahlberg,74.86 (3),77.68 (4),65.39 (2),3490.0 (5),1003.0 (11),1847.0 (14),
934045,derekmpham,73.67 (4),78.81 (3),58.42 (6),3265.0 (6),878.0 (12),2324.0 (10),
1142773,phteam,72.88 (5),75.16 (6),64.97 (3),3647.0 (4),1205.0 (9),1966.0 (13),
1069570,Ignoramus,71.77 (6),77.65 (5),55.07 (10),2992.0 (12),861.0 (13),2441.0 (7),
949587,isikus,70.75 (7),70.29 (8),72.67 (1),4667.0 (1),1973.0 (4),1755.0 (15),
663140,RyneMac,70.40 (8),74.70 (7),57.21 (7),3163.0 (8),1071.0 (10),2366.0 (9),
769033,Shroedingercat,65.66 (9),69.01 (9),55.00 (11),2993.0 (11),1344.0 (8),2449.0 (6),
666271,willXu,63.34 (10),65.36 (11),56.36 (8),3096.0 (9),1641.0 (6),2397.0 (8),
1022981,weihaonan,62.89 (11),65.37 (10),54.62 (12),2963.0 (13),1570.0 (7),2462.0 (4),
1146464,rgk_853,60.77 (12),62.54 (12),54.59 (13),3262.0 (7),1954.0 (5),2714.0 (2),
727882,qst,60.01 (13),59.16 (13),63.67 (5),3777.0 (3),2607.0 (3),2155.0 (12),
1116709,Shahid_Khan_3003,52.57 (14),50.27 (14),64.34 (4),4086.0 (2),4042.0 (2),2265.0 (11),
847537,Debartha,2.63 (15),2.23 (15),8.87 (15),348.0 (15),15225.0 (1),3577.0 (1),
