submission_pk,User,Score
862474,Ali2500,0.198 (1),
870099,acaelles97,0.160 (2),
863057,qjy,0.154 (3),
885367,Suqi.lmh,0.154 (4),
829386,lxtbupt,0.141 (5),
819774,vealocia,0.139 (6),
904660,JialeCao,0.125 (7),
833337,aapanaetov,0.112 (8),
869203,yuna939,0.070 (9),
831040,hehao13,0.070 (10),
885013,iFighting,0.070 (11),
