submission_pk,User,Prediction score,Duration
717796,sumukhaithal6,41.79 (1),0.00 (1),
717766,sklearn,38.80 (2),0.00 (1),
717581,parthnatekar,34.85 (3),0.00 (1),
667831,zhanyu,31.55 (4),0.00 (1),
711364,wasao,28.88 (5),0.00 (1),
717822,JamesLee,15.21 (6),0.00 (1),
678524,Vashisht,9.38 (7),0.00 (1),
717604,AllenZhang,9.31 (8),0.00 (1),
715980,AllenZhang,7.88 (9),0.00 (1),
717833,DepenM,7.36 (10),0.00 (1),
680242,Ch4nYH,6.63 (11),0.00 (1),
678165,neckarmueller,6.55 (12),0.00 (1),
683614,mordigm,6.32 (13),0.00 (1),
717711,AlgueRythme,5.43 (14),0.00 (1),
717058,SangminLee,5.03 (15),0.00 (1),
683580,TianlongChen,5.01 (16),0.00 (1),
713392,mostafa00791,4.63 (17),0.00 (1),
655305,RogueSquadron,4.59 (18),0.00 (1),
666285,haozhe-an,4.56 (19),0.00 (1),
709100,mostafa00791,4.55 (20),0.00 (1),
657106,myqe,4.41 (21),0.00 (1),
716107,Umangi,4.21 (22),0.00 (1),
698239,Ashvinee,4.21 (22),0.00 (1),
693373,gopinath.b,4.21 (22),0.00 (1),
673824,anican,4.21 (22),0.00 (1),
672781,arunraja,4.21 (22),0.00 (1),
671826,bhu1357,4.21 (22),0.00 (1),
671521,Anton.S,4.21 (22),0.00 (1),
665741,mlmf,4.21 (22),0.00 (1),
717818,samiul,4.21 (23),0.00 (1),
664671,jarvvvis,4.20 (24),0.00 (1),
664113,Jio,4.20 (24),0.00 (1),
663926,heatd,4.20 (24),0.00 (1),
661286,impact_parameter,4.20 (24),0.00 (1),
660804,nkotelevskii,4.20 (24),0.00 (1),
655385,gelearn,4.20 (24),0.00 (1),
656942,gelr,4.09 (25),0.00 (1),
656097,knowzou,4.09 (26),0.00 (1),
672490,Bach_In_US,4.05 (27),0.00 (1),
684777,kushaltirumala,3.97 (28),0.00 (1),
675489,Ethan_Udel,3.56 (29),0.00 (1),
665445,deepq-lab,3.52 (30),0.00 (1),
677330,VikramjeetD,3.43 (31),0.00 (1),
661179,sgxps4,3.31 (32),0.00 (1),
712327,xychen,3.30 (33),0.00 (1),
713653,simonc,3.03 (34),0.00 (1),
660181,sgxps4,3.02 (35),0.00 (1),
655909,DeshengLi,2.97 (36),0.00 (1),
669956,BigBigDooJo,2.91 (37),0.00 (1),
717827,isLab,2.77 (38),0.00 (1),
716086,sahilsid,2.65 (39),0.00 (1),
670472,ngnawejonas,2.28 (40),0.00 (1),
668761,w-e,2.02 (41),0.00 (1),
652305,ayan7246,2.02 (42),0.00 (1),
717804,LinZhang,1.65 (43),0.00 (1),
689384,Panama,1.62 (44),0.00 (1),
712634,dakshidnani,1.61 (45),0.00 (1),
693388,charlesmartin14,1.56 (46),0.00 (1),
691958,smeznar,1.51 (47),0.00 (1),
674529,achm,1.47 (48),0.00 (1),
706029,ido.benshaul,1.33 (49),0.00 (1),
668192,achille.thin,1.28 (50),0.00 (1),
657068,nzw,1.23 (51),0.00 (1),
662101,human_being_42,1.20 (52),0.00 (1),
655462,BayesianFrequentist,1.17 (53),0.00 (1),
657856,ljlin,1.17 (54),0.00 (1),
691477,suvarna,1.07 (55),0.00 (1),
672727,kirilll,0.98 (56),0.00 (1),
672356,samus,0.93 (57),0.00 (1),
716946,valexiev,0.90 (58),0.00 (1),
661879,koriavinash,0.89 (59),0.00 (1),
686520,einet89,0.88 (60),0.00 (1),
716489,agustin-martin.picard,0.87 (61),0.00 (1),
701479,Moulaga,0.87 (61),0.00 (1),
686442,vamshichowdary,0.87 (61),0.00 (1),
685369,valexiev,0.87 (61),0.00 (1),
683783,einet89,0.87 (61),0.00 (1),
679056,alisher_ai,0.87 (61),0.00 (1),
679170,brian4,0.87 (61),0.00 (1),
665969,akshay-r,0.87 (61),0.00 (1),
664761,AFK,0.87 (62),0.00 (1),
661788,sglko92,0.87 (62),0.00 (1),
652048,mikeedi,0.87 (62),0.00 (1),
660016,mokshjain,0.86 (63),0.00 (1),
675420,NC717,0.79 (64),0.00 (1),
657502,Xavi_Arnal,0.66 (65),0.00 (1),
680550,amr,0.48 (66),0.00 (1),
663498,ssarfraz,0.48 (67),0.00 (1),
671824,scottyak,0.21 (68),0.00 (1),
669444,egyptdj,0.18 (69),0.00 (1),
705531,arsaljalib,0.06 (70),0.00 (1),
