submission_pk,User,F1,Accuracy,Precision,Recall
619591,bashartalafha,0.2678 (1),0.4286 (1),0.3252 (1),0.2519 (1),
619400,mekki,0.2599 (2),0.3966 (2),0.3026 (2),0.2485 (2),
618589,Ahmad_Beltagy,0.2309 (3),0.3770 (5),0.2640 (5),0.2304 (4),
619367,ArabicProcessors,0.2303 (4),0.3842 (3),0.2740 (4),0.2240 (5),
619035,zeyad3ezzat,0.2258 (5),0.3828 (4),0.2428 (7),0.2336 (3),
628903,rowantahseen,0.2034 (6),0.3626 (6),0.2783 (3),0.2056 (6),
612847,bharathib,0.1984 (7),0.3480 (10),0.2054 (11),0.2017 (7),
612467,amaloraini,0.1945 (8),0.3374 (12),0.2040 (13),0.1984 (8),
619223,licvol,0.1790 (9),0.3568 (8),0.2240 (10),0.1764 (10),
615360,_abdullah,0.1784 (10),0.3348 (13),0.1907 (15),0.1798 (9),
629235,Samiat,0.1771 (11),0.3622 (7),0.2493 (6),0.1721 (11),
619073,dkosmajac,0.1650 (12),0.3128 (17),0.1784 (17),0.1704 (12),
619418,hamadanayel,0.1581 (13),0.3222 (16),0.1791 (16),0.1601 (13),
619691,Rajeshkm,0.1577 (14),0.3506 (9),0.2396 (8),0.1592 (14),
619014,NourKhdour1,0.1509 (15),0.3478 (11),0.2300 (9),0.1568 (15),
628931,Nouf,0.1472 (16),0.3300 (14),0.2044 (12),0.1461 (16),
619342,Ghoul,0.1421 (17),0.3238 (15),0.1913 (14),0.1425 (17),
625959,ahmedAliwy,0.1220 (18),0.3128 (17),0.1576 (18),0.1245 (18),
