submission_pk,User,Accuracy,F-score,MRR,MAP
460565,romang,0.1670 (1),0.7740 (1),0.2547 (1),0.1670 (1),
460404,saeednajafi,0.1660 (2),0.7740 (2),0.2352 (2),0.1660 (2),
459323,soumyadeep,0.1450 (3),0.7610 (3),0.1450 (3),0.1450 (3),
