submission_pk,User,By Answer Type,By Answer Type,By Answer Type,Overall
,Yes/No,Other,Number
929547,jiyt,53.13 (1),76.54 (1),,,,
419606,yuz,48.66 (2),75.35 (2),,,,
394419,blabla,42.50 (7),72.08 (3),,,,
407045,xcc,42.58 (6),71.53 (4),,,,
344871,jnhwkim.mlb,40.07 (15),70.29 (5),,,,
430519,sunzhen_qq,40.76 (10),70.20 (6),,,,
237322,daylen,41.01 (9),70.10 (7),,,,
397474,yudf_ustc,44.00 (3),69.99 (8),,,,
430344,Rayen_20154227031,41.96 (8),69.85 (9),,,,
236431,hyeonseob,40.69 (13),69.26 (10),,,,
395244,idansc,42.80 (5),68.50 (11),,,,
237761,HyeonwooNoh,40.09 (14),68.11 (12),,,,
399670,chiuyeelau,43.73 (4),67.97 (13),,,,
237501,jnhwkim,40.73 (11),67.54 (14),,,,
237411,klab.vqa,40.70 (12),66.91 (15),,,,
231311,MIL,39.70 (16),66.64 (16),,,,
382703,lyndonlee,38.14 (22),66.59 (17),,,,
204271,jw2yang,39.50 (17),66.07 (18),,,,
383908,xiaolu,36.91 (27),65.81 (19),,,,
389109,secina2,37.58 (25),65.64 (20),,,,
230941,bzwwtl,37.85 (23),65.44 (21),,,,
191611,gpgpu_,38.56 (20),65.07 (22),,,,
236291,feidfoe,38.62 (19),64.45 (23),,,,
159301,testing_11,38.30 (21),64.18 (24),,,,
182631,kevjshih,34.26 (33),63.53 (25),,,,
109511,vqateam-deeperLSTM_NormlizeCNN,37.70 (24),63.09 (26),,,,
237321,mujtaba,38.79 (18),62.69 (27),,,,
111271,metalbubble,37.30 (26),61.97 (28),,,,
425436,NUDT_DM_Class,36.44 (28),58.09 (29),,,,
96741,vqateam-lstm_cnn,36.10 (30),57.57 (30),,,,
96861,vqateam-q_lstm_alone,35.86 (31),55.01 (31),,,,
403090,Solli,36.22 (29),50.62 (32),,,,
162751,vqateam-nearest_neighbor,25.81 (34),48.75 (33),,,,
163531,vqateam-prior_per_qtype,35.70 (32),39.38 (34),,,,
96952,vqateam-all_yes,0.43 (35),29.72 (35),,,,
