submission_pk,User,meanAP,APpedestrian,APcyclist,APcar,APtruck,APtram,APtricycle
984729,HOW,85.24 (1),83.16 (1),89.44 (1),93.94 (1),90.24 (1),87.94 (1),66.72 (1),
984860,newer2021,81.79 (2),82.51 (2),87.25 (2),92.89 (2),87.49 (2),84.55 (2),56.08 (3),
985158,IPIU-XDU,81.27 (3),81.07 (4),86.58 (3),92.65 (3),87.36 (3),83.80 (3),56.19 (2),
985138,JIOJIO,80.05 (4),79.21 (12),85.50 (7),92.13 (5),86.61 (4),83.52 (4),53.34 (4),
985672,G-T,79.67 (5),79.08 (14),85.40 (8),91.94 (10),86.22 (9),82.94 (5),52.47 (5),
983471,HZR,79.65 (6),79.31 (10),85.34 (10),91.96 (9),86.47 (5),82.80 (6),52.02 (7),
984874,wukai,79.65 (6),81.43 (3),86.20 (4),91.52 (14),84.68 (20),82.24 (14),51.84 (10),
981193,LiJJ,79.55 (7),79.29 (11),85.27 (13),91.96 (9),86.32 (7),82.46 (12),51.97 (8),
985882,Serendi,79.55 (7),80.08 (6),85.88 (5),91.86 (11),85.87 (11),82.58 (8),51.05 (16),
982721,pandora777,79.50 (8),78.92 (16),85.18 (15),92.00 (6),86.31 (8),82.68 (7),51.94 (9),
983317,PEACEMINUSONE,79.49 (9),79.93 (7),85.81 (6),91.82 (13),85.71 (12),82.55 (10),51.10 (15),
982791,orcsmustdie,79.42 (10),79.31 (10),85.20 (14),91.83 (12),85.87 (11),82.57 (9),51.76 (11),
979609,ineedyou520,79.39 (11),78.99 (15),85.17 (16),91.99 (7),86.14 (10),82.48 (11),51.61 (12),
981052,WHK,79.38 (12),79.81 (8),85.30 (12),91.41 (16),85.50 (13),82.10 (16),52.17 (6),
974414,wyndy,79.30 (13),79.18 (13),85.17 (16),91.96 (9),86.43 (6),82.39 (13),50.67 (17),
981042,Puffs,78.83 (14),79.47 (9),84.93 (17),90.90 (19),84.82 (17),81.38 (19),51.47 (13),
982752,shaoqb,78.54 (15),78.81 (17),85.37 (9),91.94 (10),85.07 (14),82.15 (15),47.90 (24),
975852,CChong,78.42 (16),78.75 (18),84.83 (18),91.21 (18),84.92 (16),81.65 (18),49.18 (20),
979508,TomAndJerry,78.41 (17),77.83 (20),84.33 (22),90.78 (20),84.38 (22),81.78 (17),51.34 (14),
975510,Forever,78.30 (18),78.74 (19),84.78 (19),91.40 (17),84.69 (19),81.34 (20),48.85 (21),
984201,fgt,77.85 (19),77.64 (22),84.64 (20),92.15 (4),84.94 (15),80.58 (24),47.15 (26),
