submission_pk,User,Accuracy
483200,MILab,0.78 (1),
486059,satyampd,0.77 (2),
471053,tianhaogu,0.77 (3),
483487,sunidhibatra,0.77 (4),
481953,Alexsumt,0.77 (4),
481946,shivam1423,0.77 (4),
471044,daiy3,0.76 (5),
481896,bhatnaushad,0.76 (6),
481782,shreyyaa,0.76 (7),
481925,bhavyamehta022,0.76 (8),
481803,akashavverma,0.73 (9),
471047,Nik.G,0.59 (10),
512396,acletournel,0.52 (11),
507093,pavao,0.52 (11),
471051,Fitztory,0.52 (11),
471393,roterj,0.52 (11),
471046,qiuzhangyk,0.50 (12),
471049,wenlin,0.50 (13),
471011,yknot,0.50 (14),
471043,spagano12111,-1.00 (15),
471056,armstm2,-1.00 (15),
471582,paigesusan17,-1.00 (15),
471618,SONNY123456789,-1.00 (15),
