submission_pk,User,Accuracy,F-score,MRR,MAP
187641,andrew.finch,0.1869 (1),0.7784 (1),0.2789 (1),0.1869 (1),
183731,minh.n,0.1553 (2),0.7537 (2),0.1561 (3),0.1553 (2),
183971,amirhj,0.1456 (3),0.7514 (3),0.2181 (2),0.1456 (3),
