submission_pk,User,Avg Score,CIFAR-10 Agreement,CIFAR-10 TVD,Diabetic Retinopathy Agreement,Diabetic Retinopathy TVD,MedMNIST Agreement,MedMNIST TVD,UCI-Gap W-distance
1025929,moellenh,2.00 (1),0.9164 (1),0.1072 (1),- (3),- (6),0.8910 (1),0.0929 (1),-0.1002 (1),
1031875,nkotelevskii,3.57 (4),0.9070 (2),0.1133 (2),- (3),- (6),0.8840 (5),0.0990 (5),-0.1635 (2),
1031565,achille.thin,2.43 (2),0.9070 (2),0.1133 (2),0.9006 (1),0.1442 (1),0.8860 (4),0.0969 (4),-0.1728 (3),
1028698,adelaunoy,3.43 (3),0.9059 (3),0.1266 (3),- (3),- (6),0.8870 (3),0.0953 (2),-0.1843 (4),
1027419,Bodacious,6.57 (8),0.8657 (4),0.1629 (6),0.9005 (2),0.1742 (4),0.1430 (10),0.7025 (10),-1.0722 (10),
1031955,weiyadi,4.71 (5),0.8614 (5),0.1851 (8),0.9006 (1),0.1603 (2),0.8750 (6),0.1398 (6),-0.2575 (5),
1022938,Santosh,5.43 (6),0.8582 (6),0.1657 (7),- (3),- (6),0.8880 (2),0.0961 (3),- (11),
1028640,YuxuanSong,7.57 (11),0.8570 (7),0.1594 (4),- (3),- (6),- (11),- (11),- (11),
1032666,pierre-simon,6.43 (7),0.8507 (8),0.1601 (5),- (3),- (6),0.8100 (7),0.1557 (7),-0.4574 (9),
1032023,kasjari,7.14 (10),0.8109 (9),0.2679 (9),- (3),- (6),0.7850 (8),0.1983 (8),-0.4000 (7),
1032291,ethangoan,6.86 (9),0.7075 (10),0.4942 (10),0.9006 (1),0.1707 (3),0.7130 (9),0.2598 (9),-0.2637 (6),
1012968,andrewfoongyk,8.71 (12),- (11),- (11),- (3),- (6),- (11),- (11),-0.4411 (8),
1009168,yashvirgrewal,8.71 (12),- (11),- (11),0.9006 (1),0.1918 (5),- (11),- (11),- (11),
submission_pk,User,Avg Score,Diabetic Retinopathy Agreement,Diabetic Retinopathy TVD
1032291,ethangoan,2.00 (3),0.9006 (1),0.1707 (3),
1031955,weiyadi,1.50 (2),0.9006 (1),0.1603 (2),
1031565,achille.thin,1.00 (1),0.9006 (1),0.1442 (1),
1009168,yashvirgrewal,3.00 (4),0.9006 (1),0.1918 (5),
1027419,Bodacious,3.00 (4),0.9005 (2),0.1742 (4),
1032666,pierre-simon,4.50 (5),- (3),- (6),
1032023,kasjari,4.50 (5),- (3),- (6),
1031875,nkotelevskii,4.50 (5),- (3),- (6),
1028640,YuxuanSong,4.50 (5),- (3),- (6),
1028698,adelaunoy,4.50 (5),- (3),- (6),
1025929,moellenh,4.50 (5),- (3),- (6),
1022938,Santosh,4.50 (5),- (3),- (6),
1012968,andrewfoongyk,4.50 (5),- (3),- (6),
