submission_pk,User,F1-score
704244,Yusuf,0.9770 (1),
704121,Ozzie_kins,0.9507 (2),
693998,a.abounegm,0.9386 (3),
702409,ayaz_baykov,0.9383 (4),
703618,dussolo,0.9352 (5),
688782,a1d4r,0.9336 (6),
698630,LevSvalov,0.9311 (7),
699226,tootiredone,0.9290 (8),
701974,birdi7,0.9287 (9),
703795,Asanali_Fazylzhan,0.9281 (10),
702788,rusya_ink,0.9269 (11),
701005,user521,0.9252 (12),
688421,JudicatoR,0.9252 (12),
702919,Cendien,0.9240 (13),
701303,whoorma,0.9214 (14),
703049,Alisa,0.9196 (15),
702892,MatrosovaTalia,0.9188 (16),
702628,Ravida,0.9161 (17),
689202,Daniil_Burakov,0.9158 (18),
702275,hany606,0.9157 (19),
703870,trnsprntt,0.9140 (20),
703269,IamMaxim,0.9116 (21),
684433,Dmmc,0.9103 (22),
703210,artembakhanov,0.9092 (23),
699846,nikololiahim,0.9091 (24),
698657,Bekzhan,0.9088 (25),
703998,rufusnufus,0.9084 (26),
703776,unaimillan,0.8983 (27),
688592,KamilRizatdinov,0.8980 (28),
703931,Kalra.utkarsh,0.8957 (29),
702667,k.fedoseev,0.8956 (30),
703958,Ahmad_Hamdan,0.8931 (31),
701139,kezzyhko,0.8924 (32),
694980,Salimiska,0.8924 (32),
702732,n.tupikina,0.8900 (33),
702343,amuna,0.8891 (34),
696929,vanishmax,0.8891 (34),
701950,shooting_star,0.8890 (35),
697316,yuloskov,0.8889 (36),
691274,miserable_python,0.8880 (37),
696484,RufinaSirgalina,0.8879 (38),
703691,usmanovdanil,0.8872 (39),
701811,Winner_OK,0.8857 (40),
698505,MatveyPlevako,0.8857 (40),
703867,sgmakarov,0.8849 (41),
703393,Alexander_Krivonosov,0.8849 (41),
702138,maevgor,0.8845 (42),
699879,zavideevaa,0.8841 (43),
698783,v.stepanov,0.8838 (44),
700704,Shuva,0.8831 (45),
702824,Safinsaf,0.8829 (46),
703286,R0ach,0.8827 (47),
703814,galimzhanov_daniyar,0.8813 (48),
697969,validolchik,0.8809 (49),
703203,anessard,0.8808 (50),
703033,AlexLann,0.8807 (51),
704219,DinarZayahov,0.8782 (52),
704346,hussein77,0.8779 (53),
701528,sham1lk,0.8775 (54),
703963,Dantara,0.8774 (55),
692255,tagirium,0.8772 (56),
684398,Maxitosh,0.8768 (57),
702363,AlinaBogdanova,0.8764 (58),
703450,psnjk,0.8762 (59),
702045,pfh_hbq,0.8757 (60),
704019,IvanAbramov,0.8744 (61),
703723,Elraen,0.8723 (62),
701789,vitalykorbashov,0.8720 (63),
698242,frodan,0.8720 (63),
696031,valentun,0.8719 (64),
699744,l.chelyadinov,0.8718 (65),
701697,Mexator,0.8702 (66),
697203,bogotolec,0.8702 (66),
695775,qazybi,0.8695 (67),
702745,paukovaa,0.8693 (68),
699156,repeating,0.8693 (68),
703764,ma.magomedov,0.8688 (69),
694849,VladislavKantaev,0.8686 (70),
702819,gapurinov,0.8671 (71),
700091,DmitryPodpryatov,0.8667 (72),
696229,lok52,0.8659 (73),
704020,a.musabekova,0.8652 (74),
703854,AyazbayevD,0.8647 (75),
704330,jkhacker,0.8645 (76),
697987,nkt929,0.8634 (77),
701473,temurbek_khujaev,0.8626 (78),
698489,Andrey_Feygelman,0.8625 (79),
695079,KamilHayrullin,0.8621 (80),
701617,screemix,0.8607 (81),
703181,idel,0.8604 (82),
698589,PolinaTurishcheva,0.8602 (83),
697373,BulbaWarrior,0.8602 (83),
704317,is3ny,0.8588 (84),
701542,elamboatonge,0.8568 (85),
700914,nmaria,0.8561 (86),
704337,gosha2st,0.8552 (87),
697061,l0lkek1337,0.8552 (87),
702227,MGudkov,0.8532 (88),
702056,nbadyuk,0.8517 (89),
703535,khaledismaeel,0.8486 (90),
698959,R.Muravev,0.8484 (91),
703902,zhandos,0.8476 (92),
704280,pain122,0.8442 (93),
696568,tracy2811,0.8431 (94),
682868,i1i1,0.8371 (95),
703346,Anatoliy,0.8312 (96),
704130,a.ahmetshin,0.8242 (97),
702990,t.lysenko,0.8171 (98),
703446,YuliaChukanova,0.8093 (99),
701469,marko453,0.8022 (100),
702974,Silver7k,0.7988 (101),
703542,annastrcv,0.7933 (102),
701059,CrazyDream,0.7805 (103),
704358,maril647iv,0.7715 (104),
700122,ceevarouqa,0.7667 (105),
695512,margar1ta,0.7434 (106),
703919,MatveyPoltarykhin,0.7334 (107),
703679,dzekegor,0.7334 (107),
703835,FarkhodKhakimiyon,0.7315 (108),
701104,a.minakova,0.5250 (109),
