submission_pk,User,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,Per Category IoU,MeanIoU
,road,sdwlk,bldng,wall,fence,pole,light,sign,vgttn,trrn,sky,person,rider,car,truck,bus,train,mcycl,bcycl
420118,RTZH,46.0 (1),47.5 (1),,,,,,,,,,,,,,,,,,,,
420133,_piotr_,18.1 (3),44.7 (2),,,,,,,,,,,,,,,,,,,,
420129,whung,38.1 (2),42.4 (3),,,,,,,,,,,,,,,,,,,,
420100,yuhchen,12.1 (4),41.5 (4),,,,,,,,,,,,,,,,,,,,
419499,yzou2,0.4 (6),39.3 (5),,,,,,,,,,,,,,,,,,,,
420110,MIL,1.9 (5),37.6 (6),,,,,,,,,,,,,,,,,,,,
419540,visda_FCNWild,0.0 (7),28.2 (7),,,,,,,,,,,,,,,,,,,,
417422,visda_source_dilation,0.0 (7),25.9 (8),,,,,,,,,,,,,,,,,,,,
submission_pk,User,road,road,sdwlk,sdwlk,bldng,bldng,wall,wall,fence,fence,pole,pole,light,light,sign,sign,vgttn,vgttn,trrn,trrn,sky,sky,person,person,rider,rider,car,car,truck,truck,bus,bus,train,train,mcycl,mcycl,bcycl,bcycl,MeanIoU,MeanIoU
,src,adapt,s,a,s,a,s,a,s,a,s,a,s,a,s,a,s,a,s,a,s,a,s,a,s,a,s,a,s,a,s,a,s,a,s,a,s,a,s,a
420118,RTZH,87.0 (3),38.5 (2),74.7 (2),23.7 (1),30.5 (2),41.1 (1),45.2 (2),36.9 (1),72.1 (5),32.6 (3),90.4 (2),55.9 (2),26.8 (3),80.0 (1),23.4 (4),25.1 (3),28.7 (1),44.6 (3),46.0 (1),47.5 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420133,_piotr_,85.3 (5),42.4 (1),53.4 (5),17.3 (3),31.5 (1),39.0 (2),45.6 (1),29.1 (2),77.1 (2),27.3 (5),61.7 (7),57.8 (1),46.1 (1),75.5 (5),27.5 (1),36.4 (1),26.3 (2),51.1 (1),18.1 (3),44.7 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420129,whung,87.2 (2),33.3 (4),70.2 (4),13.6 (5),27.8 (3),29.3 (3),32.9 (5),27.9 (3),77.2 (1),28.6 (4),90.3 (3),47.0 (6),35.7 (2),78.0 (3),24.8 (3),18.0 (5),9.1 (3),37.4 (5),38.1 (2),42.4 (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420100,yuhchen,85.7 (4),36.0 (3),75.4 (1),22.6 (2),25.5 (5),23.9 (6),28.8 (6),18.0 (5),75.6 (4),34.6 (1),90.0 (4),50.8 (3),26.0 (4),77.0 (4),27.1 (2),25.3 (2),6.9 (4),47.4 (2),12.1 (4),41.5 (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419499,yzou2,59.5 (6),25.4 (5),40.7 (8),6.3 (7),27.7 (4),25.8 (5),35.0 (3),25.6 (4),67.9 (7),10.4 (8),36.7 (8),49.2 (4),11.4 (7),68.5 (6),17.3 (6),12.0 (6),1.8 (6),40.0 (4),5.0 (5),39.3 (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420110,MIL,88.8 (1),21.4 (6),71.5 (3),15.4 (4),14.9 (7),25.9 (4),34.5 (4),14.1 (6),75.8 (3),32.9 (2),91.4 (1),48.9 (5),22.7 (5),79.9 (2),23.2 (5),21.3 (4),0.0 (8),29.0 (6),1.9 (6),37.6 (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419540,visda_FCNWild,57.8 (7),20.1 (7),51.0 (6),6.5 (6),14.1 (8),20.4 (8),26.6 (7),13.6 (7),66.1 (8),22.2 (6),88.8 (5),34.1 (7),13.1 (6),63.2 (7),10.2 (8),7.1 (8),2.0 (5),18.7 (7),0.0 (7),28.2 (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417422,visda_source_dilation,40.7 (8),19.2 (8),42.3 (7),4.2 (8),19.9 (6),21.8 (7),25.9 (8),13.4 (8),68.0 (6),19.6 (7),84.7 (6),32.3 (8),5.8 (8),59.0 (8),10.3 (7),9.8 (7),1.6 (7),13.4 (8),0.0 (7),25.9 (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
