submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
829619,TouchFish,32.3591 (1),0.9006 (1),0.5000 (14),0.0 (2),0.0 (2),
836972,chuminglin,32.0413 (2),0.8945 (2),5.9500 (28),0.0 (2),0.0 (2),
837327,chencp,31.7882 (3),0.8896 (3),2.7000 (24),0.0 (2),0.0 (2),
837332,zhangqi,31.5598 (4),0.8850 (4),4.6000 (27),0.0 (2),0.0 (2),
837104,Mrobot0,31.4252 (5),0.8804 (5),1.7000 (21),0.0 (2),0.0 (2),
835914,csbhr,31.4222 (6),0.8793 (6),8.5000 (29),0.0 (2),0.0 (2),
837545,chenyuxiang,31.1947 (7),0.8773 (7),1.0000 (18),0.0 (2),1.0 (3),
819337,just_test,31.1861 (8),0.8764 (8),-1.0000 (1),-1.0 (3),-1.0 (1),
827100,lianghw123,30.9686 (9),0.8662 (10),0.3000 (10),0.0 (2),0.0 (2),
808417,qc_sun,30.9279 (10),0.8656 (11),0.3000 (10),0.0 (2),0.0 (2),
772280,APIECEOFLUCK,30.9123 (11),0.8728 (9),0.2000 (6),1.0 (1),1.0 (3),
793715,FuzhiYang,30.8306 (12),0.8642 (12),4.1000 (25),0.0 (2),0.0 (2),
793601,isonomialiu,30.8306 (12),0.8642 (12),4.1000 (25),0.0 (2),0.0 (2),
774401,RongerSnow,30.8306 (12),0.8642 (12),0.2700 (8),0.0 (2),1.0 (3),
767073,GwanSiu,30.8306 (12),0.8642 (12),2.0300 (23),0.0 (2),0.0 (2),
766869,viasu,30.8306 (12),0.8642 (12),0.8400 (17),1.0 (1),1.0 (3),
784378,qch,30.8007 (13),0.8636 (13),0.2800 (9),0.0 (2),0.0 (2),
830747,dyc1996,30.6923 (14),0.8617 (14),0.1000 (5),1.0 (1),0.0 (2),
787174,yubinnzeng,30.3389 (15),0.8516 (17),-1.0000 (1),-1.0 (3),-1.0 (1),
837853,cassie_zaf,30.3175 (16),0.8556 (16),0.7500 (16),0.0 (2),1.0 (3),
836431,li1998zk,30.2012 (17),0.8514 (18),0.4050 (11),0.0 (2),0.0 (2),
776451,DeepBlueAI,30.0408 (18),0.8481 (19),1.0000 (18),0.0 (2),0.0 (2),
811936,QiangLiu,29.4624 (19),0.8313 (22),4.2700 (26),0.0 (2),0.0 (2),
829960,Wangsy,29.3932 (20),0.8373 (20),0.0600 (4),0.0 (2),0.0 (2),
777614,xiaoyi,29.2209 (21),0.8224 (23),0.4655 (12),1.0 (1),0.0 (2),
816887,XXH,29.2081 (22),0.8605 (15),1.2000 (19),1.0 (1),0.0 (2),
835379,songxw,29.0390 (23),0.8365 (21),2.0100 (22),0.0 (2),0.0 (2),
811680,SZU_Tao,28.5702 (24),0.7987 (24),0.2500 (7),0.0 (2),0.0 (2),
767638,pitaya,28.3882 (25),0.7975 (25),0.7400 (15),0.0 (2),1.0 (3),
837390,swee,28.2101 (26),0.7907 (26),1.4090 (20),0.0 (2),0.0 (2),
824623,Chua,28.1998 (27),0.7880 (27),-1.0000 (1),-1.0 (3),-1.0 (1),
831502,ACALJJ32,26.2820 (28),0.7184 (29),1.0000 (18),0.0 (2),0.0 (2),
764583,SeungjunNah,26.2480 (29),0.7677 (28),0.0100 (2),1.0 (1),0.0 (2),
808209,Finn_zhang,25.9784 (30),0.7051 (30),0.0150 (3),0.0 (2),0.0 (2),
803980,zzz14,21.5970 (31),0.5985 (31),11.4300 (30),0.0 (2),0.0 (2),
769107,aryansh,12.9898 (32),0.3274 (32),0.4670 (13),0.0 (2),0.0 (2),
