submission_pk,User,wer
603778,Anonymous,15.67 (1),
602006,Anonymous,17.59 (2),
602371,Anonymous,18.71 (3),
603784,Anonymous,18.80 (4),
602425,Anonymous,19.64 (5),
602808,Anonymous,21.63 (6),
603796,Anonymous,22.24 (7),
602999,Anonymous,26.38 (8),
603226,Anonymous,26.61 (9),
598997,Anonymous,35.09 (10),
