submission_pk,User,test-public,test-public,test-public,test-public,test-public,test-public,test-public,val
,bbt,friends,himym,grey,house,castle,all
890174,JianGuoMao,73.9210 (4),74.4247 (3),,,,,,,,
735819,cupid,74.2096 (2),75.0934 (2),,,,,,,,
954983,BD_KG,74.7212 (1),75.1787 (1),,,,,,,,
866921,silence_killer,72.5174 (5),73.0217 (6),,,,,,,,
903415,hard_computer,72.1763 (6),73.0676 (5),,,,,,,,
522534,hstar,74.0916 (3),74.2018 (4),,,,,,,,
508662,AB_95,71.4810 (7),71.1532 (7),,,,,,,,
492854,KAIST_AIM,71.1269 (8),70.7861 (9),,,,,,,,
504992,akalsdnr,70.5234 (9),71.1335 (8),,,,,,,,
483230,TVQA,66.4568 (10),65.8493 (10),,,,,,,,
494835,jacobssy,66.0108 (12),64.8987 (12),,,,,,,,
1133761,Lianglili,66.2206 (11),65.7248 (11),,,,,,,,
