submission_pk,User,Mean-Average-Precision,Average-Precision,R-Precision,Reciprical-Rank,Precision@3,Precision@5,Precision@10
877938,Vongola,0.875 (1),0.875 (1),0.767 (1),1.000 (1),1.000 (1),1.000 (1),1.000 (1),
879083,csum112,0.841 (2),0.841 (2),0.750 (2),1.000 (1),1.000 (1),1.000 (1),1.000 (1),
869889,rsepulveda911112,0.825 (3),0.825 (3),0.700 (3),1.000 (1),1.000 (1),1.000 (1),1.000 (1),
874204,jmartinez595,0.821 (4),0.821 (4),0.750 (2),1.000 (1),1.000 (1),1.000 (1),1.000 (1),
867217,ibaris,0.706 (5),0.706 (5),0.617 (4),1.000 (1),1.000 (1),1.000 (1),1.000 (1),
867208,maramhasanain,0.697 (6),0.697 (6),0.583 (6),1.000 (1),1.000 (1),1.000 (1),1.000 (1),
873046,MLpanda,0.654 (7),0.654 (7),0.600 (5),1.000 (1),1.000 (1),1.000 (1),1.000 (1),
861343,sshaar,0.592 (8),0.592 (8),0.567 (7),1.000 (1),0.667 (2),0.600 (2),0.800 (2),
