submission_pk,User,FIOU,FIOUS,MACC,MACCS,MIOU,MIOUS,PACC,PACCS
982213,BOE_AIoT_CTO,0.6062 (1),0.7256 (1),0.4512 (1),0.7152 (1),0.3387 (1),0.6012 (1),0.7419 (1),0.8369 (1),
470291,Stuff17-ResNeXt-FPN,0.5693 (2),0.6959 (2),0.4284 (2),0.7089 (2),0.2944 (2),0.5642 (2),0.7004 (3),0.8102 (2),
515121,heheda123,0.5378 (3),0.6554 (4),0.3421 (5),0.6140 (5),0.2606 (4),0.5150 (4),0.7006 (2),0.7921 (3),
470292,Stuff17-G-RMI,0.5326 (4),0.6566 (3),0.4121 (3),0.6849 (3),0.2731 (3),0.5274 (3),0.6648 (5),0.7794 (5),
470293,Stuff17-Oxford-AVL,0.5193 (5),0.6485 (5),0.3540 (4),0.6265 (4),0.2453 (5),0.5068 (5),0.6699 (4),0.7819 (4),
470294,Stuff17-Deeplab-VGG16,0.4876 (6),0.6105 (6),0.2829 (7),0.5739 (7),0.2032 (7),0.4616 (6),0.6561 (6),0.7571 (6),
470310,Stuff17-Vllab,0.3989 (7),0.5125 (7),0.1766 (8),0.4411 (8),0.1250 (8),0.3496 (8),0.5855 (7),0.6838 (7),
507677,anonaaai2020-nondecomp,0.2956 (8),0.4142 (8),0.3202 (6),0.5887 (6),0.2258 (6),0.4406 (7),0.3928 (8),0.5047 (8),
