submission_pk,User,Accuracy,F-score,MRR,MAP
460503,romang,0.2367 (1),0.8405 (1),0.3291 (1),0.2367 (1),
460643,saeednajafi,0.2135 (2),0.8348 (2),0.3078 (2),0.2135 (2),
1078118,nerdimite2,0.1984 (3),0.8221 (3),0.1984 (3),0.1984 (3),
460603,soumyadeep,0.1823 (4),0.8076 (4),0.1823 (4),0.1823 (4),
1067408,yashraj2000,0.0000 (5),0.0000 (5),0.0000 (5),0.0000 (5),
