submission_pk,User,Overall Accuracy,Overall F1-Score
421247,cryptexcode,0.8383 (1),0.8383 (1),
421107,shallowLearner,0.8333 (2),0.8333 (2),
421258,dm4017,0.8264 (3),0.8264 (3),
420900,Thanos,0.8230 (4),0.8229 (4),
421162,na14,0.8102 (5),0.8102 (5),
421130,the_chosen_one,0.7900 (6),0.7900 (6),
421093,JohnYossarrian,0.7874 (7),0.7874 (7),
418665,pastor,0.7773 (8),0.7772 (8),
420910,charmander,0.7766 (9),0.7766 (9),
421400,gigabytex,0.7657 (10),0.7651 (10),
421396,ldane,0.7650 (11),0.7640 (11),
421240,blackbishop,0.7257 (12),0.7256 (12),
421260,jinaobo,0.7108 (13),0.7106 (13),
421331,dljr0122,0.6379 (14),0.6225 (14),
421254,AP_HOU_assign1,0.5126 (15),0.4393 (16),
420930,mearagon,0.4965 (16),0.4962 (15),
