submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
673449,wch1996,30.1973 (23),0.8574 (24),10.43 (27),1.00 (1),1.00 (1),
653547,jeasonchou,30.6313 (8),0.8616 (13),67.60 (9),0.00 (2),1.00 (1),
653003,tongtong,30.2003 (22),0.8586 (21),4.00 (33),0.00 (2),1.00 (1),
652964,congxiaofeng,26.8626 (62),0.8205 (57),24.00 (20),1.00 (1),1.00 (1),
652887,qiuzhangTiTi,29.9955 (30),0.8572 (25),29.13 (15),0.00 (2),1.00 (1),
652265,adamkau,28.6145 (55),0.8466 (45),2.00 (36),0.00 (2),1.00 (1),
651517,HWHWHW,30.3538 (16),0.8596 (18),10.00 (29),0.00 (2),1.00 (1),
650014,jeasonzhou1,30.5900 (10),0.8612 (14),67.60 (9),0.00 (2),1.00 (1),
645856,SuckChen,29.6840 (41),0.8470 (44),10.43 (27),0.00 (2),1.00 (1),
641360,shuanholmes,29.7170 (39),0.8496 (39),100.31 (5),0.00 (2),1.00 (1),
636550,pangpangkaka,29.4366 (45),0.8435 (47),10.43 (27),1.00 (1),1.00 (1),
635758,MCMCMC,30.0086 (29),0.8540 (32),10.00 (29),0.00 (2),1.00 (1),
634766,hq954937778,28.1423 (58),0.8128 (58),20.00 (22),1.00 (1),1.00 (1),
634638,wwlCape,29.9570 (31),0.8542 (31),20.87 (21),0.00 (2),1.00 (1),
718398,hzpzlz1314,29.0534 (50),0.8420 (48),10.00 (29),1.00 (1),0.00 (2),
717554,hzpzlz,29.2914 (48),0.8390 (50),10.00 (29),1.00 (1),0.00 (2),
717385,qjd,29.2914 (48),0.8390 (50),10.00 (29),1.00 (1),0.00 (2),
658719,charpo,28.9659 (52),0.8322 (53),3.00 (34),0.00 (2),0.00 (2),
658570,CKH_Camera,30.6209 (9),0.8636 (3),40.00 (14),0.00 (2),0.00 (2),
658362,image_restore,29.7900 (37),0.8486 (40),3.00 (34),0.00 (2),0.00 (2),
656069,Noah_TerminalVision,30.3970 (15),0.8589 (19),2.19 (35),0.00 (2),0.00 (2),
655225,ckames,28.8092 (53),0.8287 (54),42.10 (13),0.00 (2),0.00 (2),
655126,deandx,30.0886 (26),0.8587 (20),25.13 (18),0.00 (2),0.00 (2),
654982,LoveLetter,30.9285 (1),0.8649 (1),10.43 (27),1.00 (1),0.00 (2),
654528,iwnbl_ws,30.0204 (28),0.8581 (22),9.00 (30),0.00 (2),0.00 (2),
654326,o0w0o,30.7387 (3),0.8634 (4),29.00 (16),0.00 (2),0.00 (2),
654051,baidu_research_vis,30.8784 (2),0.8638 (2),14.65 (25),0.00 (2),0.00 (2),
653859,kukudeni,29.3341 (46),0.8444 (46),10.43 (27),0.00 (2),0.00 (2),
653070,swz30,30.2547 (19),0.8618 (12),9.00 (30),0.00 (2),0.00 (2),
653029,guanwei7,27.5802 (61),0.7998 (62),50.67 (11),1.00 (1),0.00 (2),
650718,Zhang9678,29.7071 (40),0.8497 (38),15.24 (24),0.00 (2),0.00 (2),
650675,Webbzhou,30.0928 (25),0.8566 (26),8.00 (31),0.00 (2),0.00 (2),
650670,leven,30.2597 (18),0.8555 (29),20.00 (22),0.00 (2),0.00 (2),
649974,ZhiSong_Liu,30.2484 (21),0.8558 (28),210.00 (2),0.00 (2),0.00 (2),
649934,AML-CV,29.5546 (44),0.8519 (34),500.00 (1),1.00 (1),0.00 (2),
649764,kukudewo,29.3341 (46),0.8444 (46),10.43 (27),0.00 (2),0.00 (2),
646702,raoumer,28.6239 (54),0.8250 (55),4.54 (32),0.00 (2),0.00 (2),
644932,consonCamera,30.4195 (14),0.8599 (17),40.00 (14),0.00 (2),0.00 (2),
644901,Daehan-Kim,30.2523 (20),0.8562 (27),78.00 (7),0.00 (2),0.00 (2),
644613,anhuiwuqi1994,29.8084 (36),0.8499 (37),17.60 (23),0.00 (2),0.00 (2),
644567,SolarBing,29.7205 (38),0.8472 (43),11.30 (26),0.00 (2),0.00 (2),
644159,CETC-CCS,30.7102 (4),0.8633 (7),68.00 (8),0.00 (2),0.00 (2),
644110,zhlawliet,29.0102 (51),0.8344 (52),10.37 (28),0.00 (2),0.00 (2),
643906,zh2,28.1376 (59),0.8127 (59),10.37 (28),0.00 (2),0.00 (2),
643481,hanyoseob,29.9404 (32),0.8599 (15),109.20 (4),0.00 (2),0.00 (2),
643177,xuanzhao,28.1930 (56),0.8221 (56),20.00 (22),0.00 (2),0.00 (2),
643136,DeepBlueAI,30.5534 (11),0.8634 (6),54.00 (10),0.00 (2),0.00 (2),
643070,zhihongp,30.5255 (12),0.8625 (8),81.94 (6),0.00 (2),0.00 (2),
642826,lixinhaha,30.6905 (6),0.8620 (11),3.00 (34),0.00 (2),0.00 (2),
642265,rajatguptakgp,27.9958 (60),0.8033 (61),10.43 (27),0.00 (2),0.00 (2),
641987,pigfather315,29.9119 (34),0.8530 (33),45.00 (12),1.00 (1),0.00 (2),
641745,XXH,30.6997 (5),0.8624 (9),168.00 (3),0.00 (2),0.00 (2),
641266,consonKH,30.0567 (27),0.8542 (30),40.00 (14),0.00 (2),0.00 (2),
640556,Peter_Huang,30.2889 (17),0.8599 (16),9.00 (30),0.00 (2),0.00 (2),
636141,TerVis,30.5165 (13),0.8621 (10),0.19 (37),0.00 (2),0.00 (2),
633622,conson0214,30.1322 (24),0.8575 (23),40.00 (14),0.00 (2),0.00 (2),
630401,jojo_sr,29.9226 (33),0.8500 (36),26.31 (17),0.00 (2),0.00 (2),
621565,hannanlu,28.1532 (57),0.8127 (60),10.00 (29),1.00 (1),0.00 (2),
620109,cmsp-ct,29.1239 (49),0.8387 (51),25.00 (19),0.00 (2),0.00 (2),
654932,ghgh3269,29.6565 (42),0.8484 (41),-1.00 (38),-1.00 (3),-1.00 (3),
654686,Keonhee,29.8169 (35),0.8518 (35),-1.00 (38),-1.00 (3),-1.00 (3),
648186,lj1995,30.6685 (7),0.8634 (5),-1.00 (38),-1.00 (3),-1.00 (3),
646165,killf,28.1423 (58),0.8128 (58),-1.00 (38),-1.00 (3),-1.00 (3),
643660,nancy_mehta,23.2947 (63),0.6950 (63),-1.00 (38),-1.00 (3),-1.00 (3),
643391,Timothy_Cilered,29.5789 (43),0.8481 (42),-1.00 (38),-1.00 (3),-1.00 (3),
640783,ir1d,29.3147 (47),0.8399 (49),-1.00 (38),-1.00 (3),-1.00 (3),
