submission_pk,User,F1,Precision,Recall
873122,TTigre11,0.986 (1),0.995 (1),0.977 (1),
872880,ThiagoCF05,0.855 (2),0.965 (2),0.768 (3),
888171,CodestrangeTeam,0.697 (3),0.579 (4),0.876 (2),
844086,tass18-task3,0.697 (3),0.579 (4),0.876 (2),
872440,dayanyalfaro,0.656 (4),0.740 (3),0.589 (4),
submission_pk,User,F1,Precision,Recall
873122,TTigre11,0.998 (1),1.000 (1),0.996 (1),
872880,ThiagoCF05,0.920 (2),0.985 (2),0.863 (3),
872440,dayanyalfaro,0.794 (3),0.834 (4),0.757 (4),
844086,tass18-task3,0.638 (4),0.484 (5),0.937 (2),
888171,CodestrangeTeam,0.218 (5),0.905 (3),0.124 (5),
submission_pk,User,F1,Precision,Recall
873122,TTigre11,0.984 (1),0.990 (1),0.978 (2),
888171,CodestrangeTeam,0.930 (2),0.882 (4),0.983 (1),
844086,tass18-task3,0.930 (2),0.882 (4),0.983 (1),
872440,dayanyalfaro,0.834 (3),0.909 (3),0.771 (3),
872880,ThiagoCF05,0.817 (4),0.946 (2),0.719 (4),
submission_pk,User,F1,Precision,Recall
873122,TTigre11,0.964 (1),0.968 (1),0.960 (1),
872880,ThiagoCF05,0.854 (2),0.945 (2),0.779 (2),
872440,dayanyalfaro,0.368 (3),0.446 (3),0.313 (3),
888171,CodestrangeTeam,0.187 (4),0.306 (4),0.134 (4),
844086,tass18-task3,0.187 (4),0.306 (4),0.134 (4),
submission_pk,User,F1,Precision,Recall
873122,TTigre11,0.982 (1),0.986 (1),0.979 (1),
872880,ThiagoCF05,0.921 (2),0.984 (2),0.865 (2),
872440,dayanyalfaro,0.528 (3),0.542 (3),0.515 (3),
844086,tass18-task3,0.289 (4),0.340 (5),0.252 (4),
888171,CodestrangeTeam,0.102 (5),0.510 (4),0.057 (5),
submission_pk,User,F1,Precision,Recall
873122,TTigre11,0.944 (1),0.948 (1),0.940 (1),
872880,ThiagoCF05,0.778 (2),0.897 (2),0.687 (2),
872440,dayanyalfaro,0.281 (3),0.466 (3),0.201 (3),
888171,CodestrangeTeam,0.016 (4),0.226 (4),0.008 (4),
844086,tass18-task3,0.016 (4),0.226 (4),0.008 (4),
