submission_pk,User,Accuracy
866862,NEEEK,78.5091 (1),
867663,maxs_kan,76.5554 (2),
867387,andreead,75.3111 (3),
867461,timotei.ardelean,75.0785 (4),
867537,Artem_Vazhentsev,74.7761 (5),
867729,kmisterios,74.4273 (6),
865131,underdog,74.4040 (7),
867549,player42,73.1364 (8),
867637,dkorzh10,72.8806 (9),
867391,ag3r,72.5666 (10),
896260,matveymor,72.0433 (11),
868993,annakey,72.0433 (11),
869033,Allessyer,71.2874 (12),
868922,ekovtun,71.1594 (13),
862394,palette_knife25,71.1362 (14),
867224,Glebzok,70.9617 (15),
867134,gabriel_r,69.4150 (16),
862738,Daniil_Moskovskiy,67.0776 (17),
893224,A_a,64.7401 (18),
862190,gusenica,61.9607 (19),
895424,eplumite,58.1812 (20),
867009,daleshch,57.4834 (21),
850279,lilaspourpre,50.7036 (22),
869035,truepg,50.0756 (23),
