submission_pk,User,Accuracy,F-score,MRR,MAP
460646,soumyadeep,0.0088 (1),0.3662 (1),0.0088 (1),0.0078 (1),
460512,romang,0.0022 (2),0.3235 (2),0.0053 (2),0.0019 (2),
1065034,yashraj2000,0.0000 (3),0.0000 (3),0.0000 (3),0.0000 (3),
844998,ZhuofeiDing,0.0000 (3),0.0000 (3),0.0000 (3),0.0000 (3),
