submission_pk,User,RuSemShift1 (pre-Soviet:Soviet),RuSemShift2 (Soviet:post-Soviet),RuSemShift3 (pre-Soviet:post-Soviet),Average score
807680,aryzhova,0.790 (2),0.804 (1),0.881 (1),0.825 (1),
807987,vanyatko,0.806 (1),0.678 (2),0.776 (2),0.753 (2),
816299,svart,0.655 (5),0.615 (3),0.729 (3),0.666 (3),
807199,pribanp,0.657 (4),0.538 (5),0.671 (4),0.622 (4),
807317,tuw,0.692 (3),0.245 (6),0.594 (6),0.510 (5),
808572,fdzr,0.196 (6),0.580 (4),0.664 (5),0.480 (6),
784688,lidia.pivovarova,0.196 (6),0.580 (4),0.664 (5),0.480 (6),
814963,KatarinaL,-0.017 (7),0.230 (7),0.339 (7),0.184 (7),
809138,lampa112,-0.330 (8),-0.114 (8),-0.307 (8),-0.250 (8),
