submission_pk,User,Prediction score (MSLE)
677885,vinayaka,0.120551 (1),
677869,mc-aida,0.121094 (2),
676633,myaunraitau,0.136239 (3),
677166,parklize,0.149997 (4),
674823,JimmyChang,0.156876 (5),
677222,Thomary,0.169047 (6),
677883,drcarenhan,0.176654 (7),
673028,nickil21,0.180212 (8),
677438,anlu,0.183509 (9),
675919,Cijkstra,0.192833 (10),
677313,polaris0321,0.194797 (11),
672192,taggatle,0.209216 (12),
677243,neonine,0.216670 (13),
674613,Pevaman,0.226405 (14),
677630,GoktugEk,0.260062 (15),
677835,Prachi,0.263665 (16),
676097,zyx_pku,0.504612 (17),
677710,harrando,0.855121 (18),
674344,hazal,1.758640 (19),
677403,Egofori,3.604259 (20),
