submission_pk,User,ERR(%),Execution time(ms)
1146611,statictemp,2.89 (1),4020.0 (1),
897183,JiajiaJiang,3.32 (2),40.0 (3),
839631,jgalbally,5.35 (3),35.0 (4),
897194,Amaranthe,7.19 (4),28.0 (5),
904252,BiDA,7.71 (5),3709.0 (2),
897187,BenceKovari,7.74 (6),26.0 (6),
897207,mwehbi,14.57 (7),20.0 (7),
897175,JAIRG,999.99 (8),0.0 (8),
submission_pk,User,ERR(%),Execution time(ms)
1146611,statictemp,3.69 (1),1844.0 (2),
897187,BenceKovari,5.81 (2),4.0 (6),
897183,JiajiaJiang,6.58 (3),6.0 (4),
839631,jgalbally,9.43 (4),6.0 (4),
904252,BiDA,10.15 (5),1943.0 (1),
897194,Amaranthe,12.68 (6),5.0 (5),
897175,JAIRG,12.86 (7),8.0 (3),
897207,mwehbi,13.36 (8),4.0 (6),
submission_pk,User,ERR(%),Execution time(ms)
1146611,statictemp,3.05 (1),3673.0 (2),
897183,JiajiaJiang,4.18 (2),36.0 (3),
897187,BenceKovari,7.71 (3),26.0 (5),
897194,Amaranthe,7.77 (4),30.0 (4),
904252,BiDA,7.91 (5),3723.0 (1),
897207,mwehbi,13.63 (6),23.0 (6),
897175,JAIRG,999.99 (7),0.0 (7),
839631,jgalbally,999.99 (7),0.0 (7),
