submission_pk,User,Prediction score (MSLE)
671760,mc-aida,0.124948 (1),
667359,vinayaka,0.126781 (2),
657860,maxidl,0.143755 (3),
665295,myaunraitau,0.152609 (4),
665987,fanqie,0.153692 (5),
671148,parklize,0.154224 (6),
652530,ntt,0.154515 (7),
668476,JimmyChang,0.157197 (8),
664136,parklize,0.157424 (9),
645972,vinayaka,0.162680 (10),
653101,marcodo,0.166378 (11),
649099,Ferryman,0.166550 (12),
645492,Tomoyo,0.169443 (13),
671573,DeepBlueAI,0.170779 (14),
656607,gsateesh,0.172578 (15),
649654,nickil21,0.174569 (16),
650369,MeisterMorxrc,0.180196 (17),
644997,Tomoyo,0.182611 (18),
670748,Thomary,0.198328 (19),
645197,taggatle,0.198465 (20),
647451,BalanceX,0.199912 (21),
656119,treff,0.200992 (22),
669981,Cijkstra,0.201170 (23),
655513,army_aviator,0.207891 (24),
648487,davidanalytics,0.209432 (25),
666643,anlu,0.215200 (26),
643524,balikasg,0.216908 (27),
654862,dinhvietcuong,0.217840 (28),
651343,lientv,0.218099 (29),
656076,karthik0104,0.218559 (30),
648022,lalasa_dheekollu,0.220808 (31),
655512,karthik0104,0.226333 (32),
645515,MeeCreeps,0.247712 (33),
671151,Pevaman,0.253460 (34),
644646,thtang,0.273858 (35),
669550,sidsaif,0.288659 (36),
671252,fred_huang,0.301751 (37),
667716,akashpb,0.392659 (38),
667748,sammy786,0.426534 (39),
652377,ayan7246,0.461675 (40),
666488,harrando,0.526435 (41),
670526,polaris0321,0.535212 (42),
650889,DICELab,0.535212 (42),
650443,army_aviator,0.535212 (42),
646673,ravarora,0.535212 (42),
644619,sachin.nagargoje,0.535212 (42),
644040,karamaneja,0.535212 (42),
673001,pzw_cqut,1.401217 (43),
661845,gofat,1.701792 (44),
670484,Rosemary,3.203147 (45),
660230,FeiC,3.550833 (46),
