submission_pk,User,Micro precision,Micro recall,Micro F1 score,Macro precision,Macro recall,Macro F1 score,Averaged precision,Averaged recall,Averaged F1 score,Mean Squared Error (MSE)
897120,DanHv94,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.538333 (2),0.684322 (1),0.602612 (2),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
897072,JAGD,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.668333 (1),0.670569 (2),0.669449 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
885624,Timen,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.423333 (3),0.445614 (3),0.434188 (3),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
883023,hugo.jair,-1.000000 (1),-1.000000 (1),-1.000000 (1),0.270000 (4),0.270000 (4),0.270000 (4),-1.000000 (1),-1.000000 (1),-1.000000 (1),-1.000000 (1),
