submission_pk,User,F1,Accuracy,Precision,Recall
787431,mohamedgabr96,0.0860 (1),0.0946 (1),0.0907 (1),0.0933 (1),
787607,mekki,0.0530 (2),0.0690 (2),0.0700 (2),0.0682 (2),
793577,hamada_nayel,0.0443 (3),0.0488 (4),0.0459 (3),0.0462 (4),
786032,anshul.wadhawan,0.0437 (4),0.0532 (3),0.0449 (4),0.0519 (3),
