submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint (Bytes),Model Params
940948,joanne.wjy,5.20 (4),0.8667 (1),0.5698 (7),0.4260 (6),2244030744.0 (6),560981507.0 (6),
940230,HW-TSC,2.80 (1),0.8580 (2),0.5043 (1),0.3840 (1),2243941083.0 (5),560941057.0 (5),
940521,IST-Unbabel,5.40 (5),0.8559 (3),0.5152 (2),0.4009 (4),4872322439.0 (9),1214683792.0 (9),
934957,hantae.kim,5.00 (3),0.8530 (4),0.5216 (3),0.3992 (2),2503797760.0 (8),611278859.0 (8),
952288,kw,4.80 (2),0.8406 (5),0.5320 (4),0.4002 (3),2244030744.0 (6),560981507.0 (6),
933810,gregor_geigle,6.00 (7),0.8344 (6),0.5402 (5),0.4256 (5),2382759964.0 (7),595689991.0 (7),
937103,shaun.lim,5.60 (6),0.8233 (7),0.5623 (6),0.4413 (7),1249902592.0 (4),297974795.0 (4),
940545,fblain,6.00 (7),0.7376 (8),0.6569 (8),0.5240 (8),1142413043.0 (3),281291535.0 (3),
940457,Bergamot,6.20 (8),0.6262 (9),0.9770 (10),0.8175 (10),83907600.0 (1),19220401.0 (1),
939581,shakedme,6.40 (9),0.5441 (10),0.9305 (9),0.7166 (9),626401280.0 (2),156589824.0 (2),
