submission_pk,User,APCER,BPCER,RANK<ACER>
548626,harvest,0.0000 (1),0.0000 (1),0.0000 (1),
548571,ccq195,0.0000 (1),0.0000 (1),0.0000 (1),
547268,ZhangTT,0.0000 (1),0.0000 (1),0.0000 (1),
545781,theone,0.0000 (1),0.0000 (1),0.0000 (1),
545737,GuoshengZhang,0.0000 (1),0.0000 (1),0.0000 (1),
543292,hulking,0.0000 (1),0.0000 (1),0.0000 (1),
543283,Hisign,0.0000 (1),0.0000 (1),0.0000 (1),
542303,matchaisyums,0.0000 (1),0.0000 (1),0.0000 (1),
532754,zhangxin,0.0000 (1),0.0000 (1),0.0000 (1),
545278,itrushkin,0.6667 (2),0.6667 (2),0.6667 (2),
533403,TOP,5.6667 (3),5.6667 (3),5.6667 (3),
527642,gesture_challenge,12.0000 (4),13.0000 (4),12.5000 (4),
547713,ChuChunChuang,53.0000 (5),53.3333 (5),53.1667 (5),
