submission_pk,User,AP@0.50,AP@0.25,AP@0.75
531184,VIP,0.651984 (1),0.737252 (1),0.311221 (2),
536332,Kaulquappe,0.637506 (2),0.714089 (3),0.382895 (1),
518625,IPHD_baselines,0.632242 (3),0.733568 (2),0.253599 (3),
