submission_pk,User,correct
928527,huangbo940326,0.6444 (1),
928812,whoamiw,0.6388 (2),
928625,JNU,0.6380 (3),
928639,tang_god,0.6356 (4),
928456,ZhangyongTang,0.6215 (5),
928730,QLY,0.6130 (6),
928659,jjchen,0.6116 (7),
928231,blue_star,0.6116 (7),
927248,hli1221,0.6082 (8),
927784,WD_B402,0.6066 (9),
927383,YouKnowWhoAmI,0.6062 (10),
926732,leili,0.5848 (11),
927813,guyu,0.5824 (12),
925151,jinke,0.5795 (13),
926774,xjtudz,0.5752 (14),
928794,shan666,0.5681 (15),
928537,adamzdw,0.5603 (16),
928515,Homura,0.5544 (17),
928790,jkahsjkd,0.5251 (18),
928784,ywang26,0.5163 (19),
928715,Nitre,0.5139 (20),
928458,zhuwenming,0.5057 (21),
924865,tangyuan23,0.4941 (22),
936330,kostadinov,0.4930 (23),
923653,Anti-UAV,0.3780 (24),
