submission_pk,User,MAP
688232,webbley,0.6033 (1),
640326,alvysinger,0.5843 (2),
648080,aisys,0.5233 (3),
688440,AGP,0.4902 (4),
688176,vmm,0.4902 (4),
688270,redken,0.4793 (5),
686609,Aditya-Pawate,0.4519 (6),
680927,mler,0.3367 (7),
671608,dchandak99,0.3254 (8),
638881,dustalov,0.2344 (9),
