submission_pk,User,EM,Bleu-2,chrTER,chr3-F
599470,gozdesahin,100.0000 (1),93.0900 (1),100.0000 (1),100.0000 (1),
submission_pk,User,EM,Bleu-2,chrTER,chr3-F
599470,gozdesahin,100.0000 (1),88.2800 (1),100.0000 (1),100.0000 (1),
submission_pk,User,EM,Bleu-2,chrTER,chr3-F
599470,gozdesahin,100.0000 (1),98.0000 (1),100.0000 (1),100.0000 (1),
