submission_pk,User,AVG,SEEN,UNSEEN
450102,NAIST_RV,10.48 (1),8.28 (2),12.26 (1),
419773,slivorezzz,10.51 (2),8.21 (1),12.37 (2),
420391,THU_EE_VCLab,13.65 (3),11.02 (3),15.79 (3),
415562,SamuelYuan,20.63 (4),16.04 (4),24.36 (4),
450105,rvhand,24.16 (5),20.10 (5),27.46 (5),
423990,jasonoik,129.21 (6),119.01 (6),137.50 (6),
515754,ibrahim_abdelaziz,164.59 (7),167.40 (8),162.30 (7),
507305,tanaydeshmukh,164.97 (8),167.11 (7),163.24 (8),
530860,Duter,165.24 (9),167.68 (9),163.25 (9),
