submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
809151,minglang1,29.9908 (6),0.8498 (5),1.0000 (2),0.0 (1),1.0 (1),
839097,Devonn,30.0995 (5),0.8487 (7),1.2000 (1),0.0 (1),0.0 (2),
835263,lixin41,30.7530 (2),0.8638 (1),0.4000 (4),0.0 (1),0.0 (2),
809999,yeapyes,29.7993 (7),0.8488 (6),1.0000 (2),0.0 (1),0.0 (2),
807684,am1969,27.9355 (11),0.7775 (11),0.7480 (3),0.0 (1),0.0 (2),
807222,YUNX,28.2859 (10),0.8138 (10),0.3000 (5),0.0 (1),0.0 (2),
763568,RenYang,29.0981 (9),0.8267 (9),0.0000 (6),0.0 (1),0.0 (2),
831593,HatsuneMiku,30.7670 (1),0.8615 (2),-1.0000 (7),-1.0 (2),-1.0 (3),
830624,D.D.D.,30.6400 (3),0.8595 (3),-1.0000 (7),-1.0 (2),-1.0 (3),
828732,zhaominyiz,30.4510 (4),0.8562 (4),-1.0000 (7),-1.0 (2),-1.0 (3),
802230,DYng,29.7394 (8),0.8471 (8),-1.0000 (7),-1.0 (2),-1.0 (3),
