submission_pk,User,min t-DCF,EER
930050,Anonymous,0.2177 (1),1.32 (1),
930532,Anonymous,0.2480 (2),2.77 (2),
929956,Anonymous,0.2495 (3),3.13 (5),
929818,Anonymous,0.2500 (4),2.81 (3),
930095,Anonymous,0.2531 (5),3.10 (4),
929961,Anonymous,0.2608 (6),3.21 (6),
931318,Anonymous,0.2672 (7),3.62 (8),
930684,Anonymous,0.2689 (8),3.63 (9),
930287,Anonymous,0.2725 (9),3.61 (7),
930509,Anonymous,0.2747 (10),5.58 (13),
931977,Anonymous,0.2853 (11),5.66 (14),
930461,Anonymous,0.2880 (12),5.01 (11),
929972,Anonymous,0.2882 (13),4.66 (10),
930473,Anonymous,0.2893 (14),5.70 (15),
931970,Anonymous,0.3094 (15),5.46 (12),
929955,Anonymous,0.3279 (16),7.19 (17),
930396,Anonymous,0.3293 (17),6.16 (16),
929836,Anonymous,0.3310 (18),8.23 (19),
929849,Anonymous,0.3362 (19),8.89 (20),
929793,Anonymous,0.3445 (20),9.26 (22),
930288,Anonymous,0.3446 (21),7.79 (18),
930924,Anonymous,0.3451 (22),8.98 (21),
932402,Anonymous,0.3666 (23),7.19 (17),
930513,Anonymous,0.4059 (24),13.45 (25),
929803,Anonymous,0.4257 (25),9.50 (23),
931220,Anonymous,0.4890 (26),14.68 (28),
929809,Anonymous,0.4974 (27),15.62 (29),
930696,Anonymous,0.5148 (28),13.75 (26),
930858,Anonymous,0.5270 (29),12.90 (24),
932336,Anonymous,0.5748 (30),18.50 (36),
929812,Anonymous,0.5758 (31),19.30 (38),
930280,Anonymous,0.5775 (32),14.28 (27),
930582,Anonymous,0.6204 (33),15.95 (31),
930276,Anonymous,0.6288 (34),15.87 (30),
932172,Anonymous,0.6320 (35),15.98 (32),
930262,Anonymous,0.6371 (36),16.27 (33),
930147,Anonymous,0.6741 (37),17.41 (34),
930057,Anonymous,0.6813 (38),17.66 (35),
932201,Anonymous,0.7228 (39),26.41 (40),
930414,Anonymous,0.7233 (40),19.19 (37),
931138,Anonymous,0.8521 (41),26.14 (39),
930006,Anonymous,1.0000 (42),53.81 (41),
