submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
828872,SolarBing,31.1436 (1),0.8776 (1),0.1500 (8),0.0 (2),0.0 (2),
838032,xindongzhang,31.1143 (2),0.8767 (2),0.1000 (6),1.0 (3),0.0 (2),
784361,aaaSR,30.9750 (3),0.8736 (3),0.0400 (4),0.0 (2),0.0 (2),
834157,hubingnan,30.9268 (4),0.8734 (4),9.0000 (25),1.0 (3),0.0 (2),
825830,a923592446,30.9168 (5),0.8729 (5),2.1700 (22),0.0 (2),0.0 (2),
819313,fishd,30.8874 (6),0.8724 (6),1.5500 (19),0.0 (2),0.0 (2),
819646,ppplang,30.8347 (7),0.8721 (7),7.6800 (24),1.0 (3),0.0 (2),
826364,Zhang9678,30.8236 (8),0.8716 (8),10.4300 (27),1.0 (3),1.0 (3),
832230,megviiLuo,30.6207 (9),0.8677 (9),0.0100 (2),0.0 (2),0.0 (2),
830926,lihb,30.3917 (10),0.8643 (10),0.8000 (17),0.0 (2),0.0 (2),
819657,evelynchee,30.2729 (11),0.8613 (11),0.5000 (14),0.0 (2),0.0 (2),
1003212,memory4963,30.1404 (12),0.8577 (13),6.3500 (23),1.0 (3),1.0 (3),
812655,zzz14,30.0653 (13),0.8575 (14),-1.0000 (1),-1.0 (1),-1.0 (1),
836756,deepernewbie,30.0569 (14),0.8571 (15),0.2000 (9),0.0 (2),0.0 (2),
824658,richlaji,29.8817 (15),0.8539 (16),0.7300 (16),1.0 (3),0.0 (2),
1004624,KenSoftTH,29.7566 (16),0.8468 (20),19.9200 (28),1.0 (3),1.0 (3),
1004182,AikawaFuyuka,29.6732 (17),0.8454 (22),9.7211 (26),1.0 (3),1.0 (3),
838472,ShuaiqiXiaopangzhi,29.6201 (18),0.8500 (17),1.3700 (18),1.0 (3),0.0 (2),
835795,vishalchudasama,29.5818 (19),0.8483 (18),0.6900 (15),0.0 (2),0.0 (2),
818553,simengzhu,29.5688 (20),0.8595 (12),10.4300 (27),1.0 (3),0.0 (2),
835578,JeremieG,29.5479 (21),0.8475 (19),0.2270 (10),1.0 (3),0.0 (2),
837989,algoLuo,29.5169 (22),0.8457 (21),0.4300 (13),0.0 (2),0.0 (2),
827435,akhilkashok,29.4563 (23),0.8443 (23),-1.0000 (1),-1.0 (1),-1.0 (1),
838444,masanshu,29.2545 (24),0.8412 (24),0.4300 (13),0.0 (2),0.0 (2),
836111,wwwhhh,29.2344 (25),0.8406 (25),0.1200 (7),1.0 (3),0.0 (2),
836917,SuperFarmer,28.6341 (26),0.8289 (27),2.1000 (21),1.0 (3),0.0 (2),
821084,kalpesh_svnit,28.4119 (27),0.8231 (29),2.0200 (20),0.0 (2),0.0 (2),
838495,mju_gogogo,27.8703 (28),0.8251 (28),0.3300 (11),0.0 (2),0.0 (2),
785755,baaj2109,27.7581 (29),0.7778 (30),10.4300 (27),1.0 (3),1.0 (3),
831494,stevenlau,27.0805 (30),0.8380 (26),0.2000 (9),1.0 (3),1.0 (3),
807519,RongerSnow,22.1359 (31),0.4946 (32),0.0600 (5),0.0 (2),0.0 (2),
838525,TinyJie,18.3332 (32),0.7171 (31),0.0350 (3),1.0 (3),0.0 (2),
835624,fengtao.xie,6.5742 (33),0.0229 (33),0.3800 (12),1.0 (3),0.0 (2),
