submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
194431,aad_freiburg,1.0000 (11),0.3793 (1),0.9379 (1),0.3552 (1),0.4647 (1),0.3346 (1),5942.52 (2),
189631,verif,3.6000 (9),0.3627 (2),0.7545 (6),0.3292 (3),0.3268 (5),0.2795 (2),5842.15 (4),
194141,djajetic,3.4000 (10),0.3627 (2),0.7545 (6),0.3292 (2),0.3268 (5),0.2795 (2),5842.77 (3),
1054678,hungnm,5.4000 (7),0.3522 (3),0.7894 (3),0.2746 (6),0.3220 (7),0.2177 (8),4557.58 (6),
924030,automl.chalearn,5.8000 (5),0.3223 (4),0.6977 (7),0.3070 (5),0.3231 (6),0.2228 (7),4849.01 (5),
112291,reference,5.2000 (8),0.3208 (5),0.7860 (4),0.2425 (8),0.3617 (4),0.2487 (5),4454.91 (7),
386444,mgraffg,5.2000 (8),0.3206 (6),0.7826 (5),0.2428 (7),0.3617 (4),0.2489 (4),4371.45 (8),
194581,verification_of_james_loyd,8.8000 (2),0.3064 (7),0.2070 (10),0.0270 (9),0.2181 (9),0.1098 (9),838.99 (10),
193331,lise_sun,7.8000 (3),0.3039 (8),0.2088 (9),-0.1867 (10),0.4090 (2),-0.1489 (10),5997.60 (1),
384026,hugo.jair,7.2000 (4),0.2597 (9),0.9309 (2),-0.1867 (11),0.2992 (8),0.2480 (6),822.84 (11),
194251,postech.mlg_exbrain,5.6000 (6),0.1658 (10),0.6151 (8),0.3222 (4),0.3737 (3),0.2545 (3),3403.44 (9),
112441,finlouarn,11.0000 (1),-1.0000 (11),-1.0000 (11),-1.0000 (12),-1.0000 (10),-1.0000 (11),1.01 (13),
118161,maddi,11.0000 (1),-1.0000 (11),-1.0000 (11),-1.0000 (12),-1.0000 (10),-1.0000 (11),1.01 (12),
