submission_pk,User,ROC
930896,thanhdatdo,0.9523 (1),
742074,hunterhieu,0.9521 (2),
741986,ThanhChinhBK,0.9513 (3),
741945,hieucnm,0.9492 (4),
741894,QuangPH3,0.9462 (5),
741476,kimng0511,0.9452 (6),
742032,minhpqn,0.9449 (7),
741590,lethanh98,0.9397 (8),
742025,ZaloTeam,0.9378 (9),
821206,hkab,0.9374 (10),
848821,vuonghong,0.9338 (11),
741624,duynhat,0.8102 (12),
