submission_pk,User,MCC,F1 BAD,F1 OK
652726,NiuTrans,0.6104 (1),0.7234 (1),0.8869 (1),
653347,yuriak,0.5872 (2),0.7137 (2),0.8662 (6),
653349,david7,0.5872 (2),0.7137 (2),0.8662 (6),
653263,Raphael_NICT,0.5819 (3),0.7039 (4),0.8780 (4),
742742,dual2,0.5817 (4),0.7019 (5),0.8798 (2),
742210,dual,0.5766 (5),0.6973 (7),0.8793 (3),
652490,ddk,0.5752 (6),0.7064 (3),0.8504 (7),
652617,Joao1996,0.5669 (7),0.7006 (6),0.8418 (9),
651870,cuiqu,0.5505 (8),0.6717 (8),0.8766 (5),
643472,erickrf,0.5091 (9),0.6576 (9),0.8491 (8),
submission_pk,User,MCC,F1 BAD,F1 OK
653263,Raphael_NICT,0.3361 (1),0.6677 (4),0.6685 (1),
652726,NiuTrans,0.3077 (2),0.6664 (5),0.6393 (2),
652617,Joao1996,0.2867 (3),0.7052 (1),0.4028 (5),
652490,ddk,0.2865 (4),0.7050 (2),0.4102 (4),
643472,erickrf,0.2695 (5),0.6817 (3),0.5471 (3),
742742,dual2,- (6),- (6),- (6),
742210,dual,- (6),- (6),- (6),
653347,yuriak,- (6),- (6),- (6),
653349,david7,- (6),- (6),- (6),
651870,cuiqu,- (6),- (6),- (6),
