submission_pk,User,MAP@5,MAP@1,MAP@3,MAP@10,MAP_All,RR,P@3,P@5,P@10
877831,aschern,0.883 (1),0.861 (1),0.880 (1),0.884 (1),0.884 (1),0.884 (1),0.300 (1),0.182 (1),0.092 (2),
875716,NLytics,0.799 (2),0.738 (2),0.792 (2),0.804 (2),0.807 (2),0.807 (2),0.289 (2),0.179 (2),0.093 (1),
879836,simihaylova,0.787 (3),0.728 (3),0.778 (3),0.791 (3),0.795 (3),0.795 (3),0.282 (3),0.177 (3),0.092 (3),
877674,sshaar,0.749 (4),0.703 (4),0.741 (4),0.757 (4),0.761 (4),0.761 (4),0.262 (4),0.164 (4),0.088 (4),
