submission_pk,User,Task B
1088720,Mtop,0.731 (1),
1088723,gs_chm,0.731 (2),
1088837,cnxup,0.731 (3),
1088801,ymf924,0.730 (4),
1088829,stce,0.729 (5),
1088836,zjl123001,0.728 (6),
1088792,mfomicheva,0.720 (7),
1088574,harisbinzia,0.713 (8),
1086982,ariannamuti,0.710 (9),
1088543,wentaorub,0.709 (10),
1088561,Lindada,0.708 (11),
1083304,taochen,0.706 (12),
1085433,Silvilla,0.706 (13),
1088614,rao_ailneni,0.705 (14),
1086196,marvinpeng,0.704 (15),
1087312,codec,0.698 (16),
1088636,turing6,0.695 (17),
1087641,g8a9,0.693 (18),
1078908,samyakxd,0.692 (19),
1087965,mayukh,0.690 (20),
1078629,pranitchawla98,0.690 (21),
1087903,beantown,0.689 (22),
1079286,mitrabehzadi,0.681 (23),
1084263,srnangi,0.680 (24),
1087217,tathagataraha,0.679 (25),
1088740,andrei.p,0.673 (26),
1074800,riziko,0.668 (27),
1086827,JAGD,0.663 (28),
1078621,e.roman,0.646 (29),
1075411,labadier,0.643 (30),
1087986,wander,0.637 (31),
1087891,lucianistrati,0.637 (32),
1080079,Jhermosillo,0.636 (33),
1081762,gagansh7171,0.635 (34),
1083783,xueling69,0.634 (35),
1075591,Delecis,0.634 (36),
1084515,HC-super,0.633 (37),
1075965,srivastavahv,0.632 (38),
1077677,Huertas97,0.629 (39),
1084218,paridhi,0.621 (40),
1087684,Baseline_Hierarchical_M.,0.621 (41),
1087252,YahyaD11,0.592 (42),
1088628,katko,0.588 (43),
1080597,yuanyuanya,0.584 (44),
1088742,patrickliu2011,0.563 (45),
1081177,tamtamxtamtam,0.499 (46),
1084279,RajalakshmiS,0.467 (47),
1087666,Baseline_Flat_Multilabel,0.421 (48),
1088811,jssprz,0.000 (49),
1088787,rhitabrat,0.000 (49),
1088802,charicfc,0.000 (49),
1088661,aboya,0.000 (49),
1087341,Shubham_Barnwal,0.000 (49),
1088589,glorentz,0.000 (49),
1088078,abaruah,0.000 (49),
1087713,Arniel,0.000 (49),
1087990,Ayme,0.000 (49),
1087661,Baseline_Image_Text,0.000 (49),
1087654,Baseline_Text,0.000 (49),
1087646,Baseline_Image,0.000 (49),
1086312,MohammadHabash,0.000 (49),
1086230,OrionXV,0.000 (49),
1085933,kalaivani.A,0.000 (49),
1079370,seanbenhur25,0.000 (49),
1084265,ShailyDesai,0.000 (49),
1083520,thisisatharva,0.000 (49),
1081446,Basavraj,0.000 (49),
1080244,vishesh_gupta,0.000 (49),
1081196,WeiLW,0.000 (49),
1077370,lianlio,0.000 (49),
1071495,Levante,0.000 (49),
1077261,Sattiy,0.000 (49),
1077248,yimmon,0.000 (49),
1074462,pabletecor,0.000 (49),
1076145,A.111,0.000 (49),
1075876,jofuepa,0.000 (49),
1075839,a-lit-iteration,0.000 (49),
1075720,Aily,0.000 (49),
1075176,SakshiSingh,0.000 (49),
1074381,areen,0.000 (49),
1071462,LorenzoVaiani,0.000 (49),
1072609,xdzhang,0.000 (49),
1069465,milan_kalkenings,0.000 (49),
submission_pk,User,Task A
1088720,Mtop,0.834 (1),
1085433,Silvilla,0.811 (2),
1088836,zjl123001,0.794 (3),
1087903,beantown,0.778 (4),
1088792,mfomicheva,0.771 (5),
1088614,rao_ailneni,0.761 (6),
1075965,srivastavahv,0.759 (7),
1087965,mayukh,0.757 (8),
1088837,cnxup,0.755 (9),
1088801,ymf924,0.755 (10),
1088543,wentaorub,0.755 (11),
1088829,stce,0.754 (12),
1078629,pranitchawla98,0.753 (13),
1086196,marvinpeng,0.752 (14),
1088561,Lindada,0.746 (15),
1088723,gs_chm,0.734 (16),
1088661,aboya,0.727 (17),
1088628,katko,0.727 (18),
1083783,xueling69,0.723 (19),
1086312,MohammadHabash,0.722 (20),
1088636,turing6,0.718 (21),
1083304,taochen,0.716 (22),
1087312,codec,0.715 (23),
1088574,harisbinzia,0.714 (24),
1088740,andrei.p,0.714 (25),
1087713,Arniel,0.712 (26),
1080597,yuanyuanya,0.708 (27),
1088811,jssprz,0.705 (28),
1086982,ariannamuti,0.703 (29),
1077248,yimmon,0.700 (30),
1087641,g8a9,0.699 (31),
1088589,glorentz,0.698 (32),
1079286,mitrabehzadi,0.694 (33),
1081446,Basavraj,0.692 (34),
1074800,riziko,0.687 (35),
1086827,JAGD,0.687 (36),
1087217,tathagataraha,0.687 (37),
1078908,samyakxd,0.686 (38),
1084263,srnangi,0.679 (39),
1084265,ShailyDesai,0.677 (40),
1079370,seanbenhur25,0.673 (41),
1071462,LorenzoVaiani,0.670 (42),
1074462,pabletecor,0.665 (43),
1087986,wander,0.665 (44),
1072609,xdzhang,0.662 (45),
1076145,A.111,0.662 (46),
1081762,gagansh7171,0.662 (47),
1084515,HC-super,0.662 (48),
1081196,WeiLW,0.661 (49),
1087990,Ayme,0.660 (50),
1085933,kalaivani.A,0.658 (51),
1087891,lucianistrati,0.657 (52),
1084218,paridhi,0.656 (53),
1087341,Shubham_Barnwal,0.656 (54),
1077261,Sattiy,0.655 (55),
1077370,lianlio,0.654 (56),
1083520,thisisatharva,0.650 (57),
1087684,Baseline_Hierarchical_M.,0.650 (58),
1088078,abaruah,0.649 (59),
1078621,e.roman,0.641 (60),
1087654,Baseline_Text,0.640 (61),
1087646,Baseline_Image,0.639 (62),
1075591,Delecis,0.639 (63),
1075411,labadier,0.638 (64),
1077677,Huertas97,0.636 (65),
