submission_pk,User,MAE
1082654,SenticLab.UAIC,4.133743 (1),
1015420,Fatliuyun,4.401454 (2),
1061174,talhaanwar,4.469321 (3),
1043613,astaurab,4.478837 (4),
1031569,Suman,4.496469 (5),
1107128,GarvitS,4.630246 (6),
1107117,shbharad,4.630246 (6),
1108783,yc3983,4.747886 (7),
1147738,ihab_shhadat,4.787054 (8),
1077900,davide.tricarico,4.906565 (9),
1054609,ausilianapoli94,4.953113 (10),
1110893,Ztj0420,4.966180 (11),
1048206,ACVLabNCKU,4.992600 (12),
1110426,Riverrrrrr,5.071483 (13),
1054829,karasu0803,5.109123 (14),
1110470,syaphen,5.142198 (15),
1110186,nikhilnanda21,5.146591 (16),
1109834,padmanabhankrishnamurthy,5.146591 (16),
1110393,rz2536,5.150653 (17),
1054706,install83,5.157804 (18),
1110431,ChuyangXiao,5.178324 (19),
1018909,drmubashirali,5.252931 (20),
1109467,yy3185,5.258263 (21),
1044998,Bekhouche,5.261007 (22),
1000064,faresbougourzi,5.294389 (23),
1110400,mz2842,5.422752 (24),
1039514,Captain111,5.552581 (25),
1109532,Brendankon,5.651038 (26),
1110295,Xinyu_wang,5.842429 (27),
1110291,Yiquanliii,5.842429 (27),
1097611,zz2763_mz2886,5.863951 (28),
1108599,zipeijiang,6.395849 (29),
1046466,yannisvl,6.485517 (30),
1110244,Fangzhou_Wu,6.706380 (31),
1089891,ibrahim_alsharif,6.743274 (32),
1111469,Budd,6.938125 (33),
1110274,BBA,7.128363 (34),
1110235,JasonCao,7.389700 (35),
1143445,Jimut123,7.437924 (36),
1073448,johnny_373,7.459646 (37),
1047223,ismail.hadjadj.0,8.033051 (38),
1087111,Lamees_Rababa,8.121548 (39),
1081015,RahafMgheed,8.238199 (40),
1044644,whut,11.326653 (41),
1110411,Zidong_Guo,11.810530 (42),
1110441,FuchenShen,12.233666 (43),
1049168,niksss,15.583397 (44),
1004442,ACVLabNCKU_jerry88277,17.603382 (45),
1110277,zw2778,18.259800 (46),
1110218,xf2198,18.604919 (47),
1110462,yanruc,18.831668 (48),
1109853,av3016,18.831668 (48),
1090674,cp3227,18.831668 (48),
1132600,pkw408,18.868651 (49),
1109865,sjs2281,20.530361 (50),
1039263,huyquoctrinh,21.609483 (51),
1101796,ZhiqingWang,21.844735 (52),
1110220,ChenLiKK,23.612606 (53),
1040528,js.totero,40.062721 (54),
