submission_pk,User,F1-Bad,F1-Good,F1-Multi
778696,tharindu,0.6936 (1),0.9337 (1),0.6476 (1),
468289,kf,0.6523 (2),0.9217 (2),0.6012 (2),
468012,fblain,0.4850 (3),0.9015 (3),0.4373 (3),
479197,junjieh,0.4774 (4),0.8680 (6),0.4144 (4),
468266,carolscarton,0.4463 (5),0.8708 (5),0.3886 (5),
470505,mespla,0.4272 (6),0.8651 (7),0.3696 (6),
469126,bicici,0.3790 (7),0.8979 (4),0.3403 (7),
submission_pk,User,F1-Bad,F1-Good,F1-Multi
778696,tharindu,0.4277 (1),0.9827 (1),0.4203 (1),
470505,mespla,0.3264 (2),0.9730 (3),0.3176 (2),
468266,carolscarton,0.1995 (3),0.9661 (4),0.1927 (3),
469126,bicici,0.1463 (4),0.9804 (2),0.1435 (4),
479197,junjieh,0.0000 (5),0.0000 (5),0.0000 (5),
468289,kf,0.0000 (5),0.0000 (5),0.0000 (5),
468012,fblain,0.0000 (5),0.0000 (5),0.0000 (5),
submission_pk,User,F1-Bad,F1-Good,F1-Multi
778696,tharindu,0.5153 (1),0.9360 (1),0.4824 (1),
468266,carolscarton,0.3658 (2),0.8747 (3),0.3200 (2),
469126,bicici,0.1211 (3),0.8946 (2),0.1083 (3),
470505,mespla,0.0000 (4),0.0000 (4),0.0000 (4),
479197,junjieh,0.0000 (4),0.0000 (4),0.0000 (4),
468289,kf,0.0000 (4),0.0000 (4),0.0000 (4),
468012,fblain,0.0000 (4),0.0000 (4),0.0000 (4),
