submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint (Bytes),Model Params
940209,HW-TSC,2.20 (1),0.3643 (1),0.7548 (1),0.5556 (1),2243941083.0 (4),560941057.0 (4),
939437,joanne.wjy,3.20 (2),0.3589 (2),0.7574 (2),0.5595 (2),2244030744.0 (5),560981507.0 (5),
935954,IST-Unbabel,4.60 (4),0.3551 (3),0.7635 (3),0.5663 (3),2277509716.0 (7),569330715.0 (7),
952319,kw,4.40 (3),0.3354 (4),0.7889 (4),0.5907 (4),2244030744.0 (5),560981507.0 (5),
935452,hantae.kim,6.60 (8),0.3315 (5),0.8534 (6),0.6477 (6),2503797760.0 (8),611278859.0 (8),
933793,gregor_geigle,7.20 (9),0.3295 (6),0.9173 (9),0.7049 (9),2264844300.0 (6),566211075.0 (6),
932997,Inmon,6.20 (6),0.2970 (7),0.8817 (8),0.6654 (8),2243941083.0 (4),560941057.0 (4),
937336,shaun.lim,5.60 (5),0.2755 (8),0.8649 (7),0.6492 (7),1249902592.0 (3),297974795.0 (3),
940550,fblain,4.60 (4),0.2301 (9),0.8156 (5),0.6171 (5),1142413043.0 (2),281291535.0 (2),
939482,shakedme,6.40 (7),0.1532 (10),1.1740 (10),0.8698 (10),626401280.0 (1),156589824.0 (1),
