submission_pk,User,Pearson,Spearman,MAE,MSE,R2
847656,ritikesh1999,0.7116 (61),0.6825 (61),0.0693 (26),0.0081 (23),0.4987 (59),
780327,yufeiZhang_BLCU,0.7089 (62),0.6988 (57),0.0951 (4),0.0135 (4),0.1685 (78),
773908,LCP_RIT,0.7086 (63),0.6535 (67),0.0716 (21),0.0086 (21),0.4695 (61),
852671,iitkgp_cs60075_team4,0.7081 (64),0.6753 (63),0.0707 (22),0.0082 (22),0.4919 (60),
774946,mking,0.6953 (65),0.6544 (66),0.0716 (20),0.0089 (19),0.4495 (63),
852661,cs60075_team12,0.6951 (66),0.6718 (64),0.0765 (10),0.0095 (12),0.4128 (70),
774754,chenshi,0.6951 (67),0.6532 (68),0.0740 (15),0.0091 (15),0.4366 (67),
769075,ghpaetzold,0.6875 (68),0.6588 (65),0.0735 (17),0.0088 (20),0.4577 (62),
774908,yomomissofat,0.6715 (69),0.6454 (70),0.0756 (12),0.0096 (11),0.4060 (71),
810446,semlie,0.6687 (70),0.6451 (71),0.0744 (14),0.0091 (16),0.4392 (66),
774897,Otniel,0.6663 (71),0.6457 (69),0.0736 (16),0.0091 (17),0.4402 (65),
811163,liebchaya,0.6637 (72),0.6401 (73),0.0744 (13),0.0091 (14),0.4363 (68),
854237,sauravkoranga,0.6548 (73),0.6268 (75),0.0735 (19),0.0094 (13),0.4197 (69),
774611,leonwetzel,0.6452 (74),0.6405 (72),0.0772 (9),0.0096 (10),0.4046 (72),
793557,jodejetalo,0.6302 (75),0.6276 (74),0.0757 (11),0.0098 (9),0.3953 (73),
775032,S3003183,0.5834 (76),0.5437 (76),0.0804 (7),0.0110 (7),0.3182 (75),
774654,almeidaraul,0.4598 (77),0.3983 (78),0.0866 (6),0.0130 (6),0.1989 (76),
774749,amontejo,0.4428 (78),0.3961 (79),0.0875 (5),0.0131 (5),0.1930 (77),
769541,projectlin513,0.3884 (79),0.4316 (77),0.1019 (3),0.0159 (3),0.0198 (79),
775760,glitterosu,0.1807 (80),0.1516 (80),0.1024 (2),0.0194 (2),-0.2016 (80),
768074,pvf,-0.0272 (81),-0.0268 (81),0.2777 (1),0.1270 (1),-6.8449 (81),
