submission_pk,User,MinDCF,EER
837811,IDVoice,0.0319 (1),0.69 (2),
837798,NeteaseHZAILab,0.0322 (2),0.62 (1),
837130,JTBD,0.0386 (3),0.86 (4),
837705,sgspk,0.0394 (4),0.84 (3),
835433,gbarbadillo,0.0432 (5),0.94 (5),
837365,ieppt,0.0448 (6),1.02 (7),
834086,ib2072,0.0476 (7),0.98 (6),
837399,hanbing97,0.0581 (8),1.23 (8),
836278,gazizullina2010,0.0583 (9),1.26 (9),
836438,RibotOT,0.0587 (10),1.29 (10),
955224,wangli,0.0670 (11),1.47 (11),
851467,zwx,0.0753 (12),1.70 (12),
833297,DeepMiner,0.0785 (13),1.80 (13),
846483,GREAT,0.0909 (14),2.07 (14),
811152,kwh1990,0.1427 (15),2.75 (15),
846354,jac,0.1780 (16),3.86 (16),
835514,JungwooHeo,0.1966 (17),4.00 (17),
837657,schaltung,0.2262 (18),5.06 (18),
836269,EureScribe,0.2471 (19),5.32 (19),
834821,DSPLAB,0.3425 (20),7.83 (20),
809085,zhn,0.3518 (21),7.99 (21),
813638,shareef,0.3540 (22),8.57 (22),
808842,sdsvc,0.4318 (23),10.65 (25),
828210,chiaoli,0.4339 (24),10.63 (24),
831647,MMAILAB,0.5113 (25),10.49 (23),
