submission_pk,User,Prediction score,Duration
485022,Ali_iDST_Deep_Learning,0.6577 (1),0.0000 (1),
801999,cangling,0.6567 (2),0.0000 (1),
455453,EOS_Data_Analytics,0.6560 (3),0.0000 (1),
481237,Novelfor,0.6559 (4),0.0000 (1),
973281,Chloe__,0.6535 (5),0.0000 (1),
962388,JHYST,0.6535 (5),0.0000 (1),
802173,CP0615,0.6535 (6),0.0000 (1),
975777,LsFromBj,0.6525 (7),0.0000 (1),
1125866,XSW17,0.6517 (8),0.0000 (1),
852394,zsd,0.6516 (9),0.0000 (1),
594253,JiamingLiu,0.6515 (10),0.0000 (1),
1116513,xhuang,0.6509 (11),0.0000 (1),
596888,sunday-D,0.6509 (11),0.0000 (1),
776811,dyterence,0.6492 (12),0.0000 (1),
489638,UnGG,0.6488 (13),0.0000 (1),
1125875,xiaocheng2333,0.6485 (14),0.0000 (1),
916629,linghanli,0.6483 (15),0.0000 (1),
741598,HaotianYan,0.6482 (16),0.0000 (1),
456999,zlckanata,0.6466 (17),0.0000 (1),
502944,AzNBoyStride,0.6465 (18),0.0000 (1),
963284,salswy,0.6464 (19),0.0000 (1),
905478,pilipili,0.6461 (20),0.0000 (1),
714755,Yishion01,0.6460 (21),0.0000 (1),
978349,HydeTse,0.6458 (22),0.0000 (1),
503473,aecampos,0.6457 (23),0.0000 (1),
489972,LoveShuffle,0.6451 (24),0.0000 (1),
1143077,pzhang1990,0.6451 (25),0.0000 (1),
1111481,xiaowang99,0.6450 (26),0.0000 (1),
482170,monica88,0.6444 (27),0.0000 (1),
1106912,godClan,0.6441 (28),0.0000 (1),
483191,yejunyu,0.6440 (29),0.0000 (1),
1111152,WangZixian,0.6437 (30),0.0000 (1),
1055358,Dplanet,0.6434 (31),0.0000 (1),
656126,Miaowshroom,0.6433 (32),0.0000 (1),
1126576,Function,0.6430 (33),0.0000 (1),
1146220,tyfbupt,0.6423 (34),0.0000 (1),
860778,luna727,0.6421 (35),0.0000 (1),
542747,kkurni,0.6419 (36),0.0000 (1),
1103909,Choiszt,0.6409 (37),0.0000 (1),
499950,zhaodong,0.6409 (38),0.0000 (1),
920066,sadekov_rinat,0.6409 (39),0.0000 (1),
