submission_pk,User,Average AP,FPS
487157,ly_1994,0.5713 (1),- (-),
487220,nttstar,0.5666 (2),- (-),
487195,pfluo,0.5634 (3),- (-),
487284,ReRe,0.5535 (4),- (-),
487281,icekernel,0.5518 (5),- (-),
487277,casia2018,0.5503 (6),- (-),
487229,casia2019,0.5493 (7),- (-),
487190,wsj_zz,0.5492 (8),- (-),
486274,Thinker_Face,0.5469 (9),- (-),
485612,Thinker_Face,0.5454 (10),- (-),
487153,bayu,0.5432 (11),- (-),
486695,hzw2018,0.5370 (12),- (-),
487171,maybe_forever,0.5366 (13),- (-),
487155,sjw,0.5250 (14),- (-),
487164,DogTu,0.5226 (15),- (-),
487273,weisy,0.5125 (16),- (-),
487279,deepsmart,0.5115 (17),- (-),
483864,swfearp,0.5086 (18),- (-),
487148,lt1103725556,0.4903 (19),- (-),
487226,Dark-Knight,0.4765 (20),- (-),
487022,wqm123,0.4747 (21),- (-),
487276,Minnu,0.3886 (22),- (-),
482822,wider,0.2649 (23),- (-),
