submission_pk,User,MRAE,MOS,SID,APPSA,MSE,PSNR,SSIM
477083,zrfan,0.07 (1),- (-),40.35 (1),0.06 (1),1246673.39 (1),36.70 (1),0.94 (1),
477075,Vacat,0.12 (3),- (-),98.00 (2),0.08 (2),3061024.14 (2),32.83 (2),0.86 (2),
477271,contstriver,0.11 (2),- (-),110.89 (3),0.08 (3),3414849.14 (3),32.26 (3),0.85 (3),
477309,koushikn,0.17 (4),- (-),120.37 (4),0.09 (4),3712957.70 (4),31.77 (4),0.84 (4),
476601,nattochaduke,17.66 (7),- (-),1093.78 (6),0.10 (5),28694944.54 (6),28.65 (6),0.84 (5),
475891,zhwzhong,0.22 (5),- (-),222.66 (5),0.12 (6),6496822.30 (5),29.27 (5),0.77 (6),
477281,rudrabha,0.63 (6),- (-),2741.56 (7),0.54 (7),52102366.70 (7),20.49 (7),0.07 (7),
