submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
936686,HW-TSC,1.60 (1),0.6741 (1),0.8758 (1),0.7945 (1),2243954093.0 (2),560944640.0 (3),
939042,IST-Unbabel,2.60 (3),0.5080 (2),0.8423 (2),0.6517 (2),2294881977.0 (3),569368609.0 (4),
940579,fblain,2.20 (2),0.4401 (3),0.8275 (3),0.5832 (3),1142441796.0 (1),281297685.0 (1),
940922,sding,3.60 (4),0.3290 (4),0.8132 (4),0.2987 (4),6863178235.0 (4),484431872.0 (2),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
936686,HW-TSC,2.00 (1),0.4027 (1),0.4345 (1),0.9613 (3),2243954093.0 (2),560944640.0 (3),
939042,IST-Unbabel,2.40 (3),0.2683 (2),0.2844 (2),0.9688 (1),2294881977.0 (3),569368609.0 (4),
940579,fblain,2.20 (2),0.2148 (3),0.2491 (4),0.9627 (2),1142441796.0 (1),281297685.0 (1),
940922,sding,3.40 (4),0.2071 (4),0.2528 (3),0.9529 (4),6863178235.0 (4),484431872.0 (2),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
936686,HW-TSC,1.80 (1),0.5450 (1),0.7872 (1),0.7543 (1),2243954093.0 (3),560944640.0 (3),
939042,IST-Unbabel,2.80 (3),0.4445 (2),0.7824 (2),0.6306 (2),2294881977.0 (4),569368609.0 (4),
940579,fblain,2.60 (2),0.3903 (3),0.7680 (3),0.5696 (3),1142441796.0 (2),281297685.0 (2),
940922,sding,2.80 (3),0.0000 (4),0.0000 (4),0.0000 (4),0.0 (1),0.0 (1),
