submission_pk,User,<Rank>,MPJPE,PCK@0.2,PCK@0.5,mAP
1044250,steven.moore128,9.7 (2),1.286 (1),0.000 (15),0.025 (15),0.000 (13),
1044838,openmonkey_unet,9.7 (2),1.001 (2),0.010 (14),0.157 (14),0.000 (13),
1127394,Yes,9.7 (2),0.725 (3),0.014 (13),0.199 (13),0.000 (13),
1126085,Avinash_Akella,8.0 (5),0.228 (4),0.676 (10),0.895 (9),0.411 (10),
1127160,grazz018,9.0 (3),0.219 (5),0.665 (11),0.871 (12),0.380 (11),
1126582,tarn1108,10.0 (1),0.213 (6),0.596 (12),0.872 (11),0.260 (12),
1127170,spani084,8.3 (4),0.199 (7),0.711 (9),0.887 (10),0.449 (9),
1126067,choix709,7.3 (7),0.105 (8),0.872 (6),0.978 (7),0.590 (8),
1044183,openmonkeychallenge,7.7 (6),0.101 (9),0.866 (7),0.976 (8),0.657 (7),
956675,baseline_sb,8.0 (5),0.095 (10),0.842 (8),0.980 (6),0.668 (6),
1042609,openmonkey,6.7 (8),0.075 (11),0.918 (5),0.987 (4),0.789 (4),
1126543,mahaj068,6.7 (8),0.071 (12),0.939 (3),0.991 (3),0.786 (5),
1126487,chan1975,6.7 (8),0.068 (13),0.920 (4),0.983 (5),0.838 (3),
1125318,csci5561shihaoyi,6.0 (9),0.053 (14),0.957 (2),0.994 (2),0.901 (2),
1126620,TiSpH,5.7 (10),0.047 (15),0.964 (1),0.996 (1),0.925 (1),
