submission_pk,User,ROC AUC,Precision,Recall,Average Precision,Duration
805692,Bateesa,0.09 (3),0.09 (3),0.11 (3),0.41 (2),392.44 (1),
825820,Fetulhak_Abdurahman,0.02 (4),0.03 (5),0.03 (5),0.32 (4),169.20 (2),
805629,RNakasi,0.46 (1),0.45 (1),1.00 (1),0.44 (1),150.16 (3),
805660,belinda_marion,0.19 (2),0.27 (2),0.42 (2),0.30 (5),145.24 (4),
805605,herilalaina,0.46 (1),0.45 (1),1.00 (1),0.44 (1),125.14 (5),
805637,mauricekatusiime,0.02 (5),0.03 (4),0.03 (4),0.32 (3),101.14 (6),
