submission_pk,User,F1,Accuracy,Precision,Recall
787503,mohamedgabr96,0.0643 (1),0.0666 (1),0.0711 (1),0.0671 (1),
786060,anshul.wadhawan,0.0549 (2),0.0600 (2),0.0617 (2),0.0607 (2),
787609,mekki,0.0472 (3),0.0500 (3),0.0597 (3),0.0502 (3),
793573,hamada_nayel,0.0316 (4),0.0328 (4),0.0338 (4),0.0340 (4),
