submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
837746,kuchbhi,27.0080 (2),0.8502 (4),0.2000 (12),0.0 (2),1.0 (1),
823917,sabarinathan,24.3317 (36),0.7459 (40),10.4300 (1),1.0 (1),1.0 (1),
775559,SuckChen,24.1346 (40),0.7484 (39),10.4300 (1),1.0 (1),1.0 (1),
838754,xiongdaye,24.1154 (41),0.7445 (41),2.0000 (5),1.0 (1),0.0 (2),
837561,swz30,26.8036 (6),0.8504 (3),0.2000 (12),0.0 (2),0.0 (2),
837340,SRCB-Z,27.2043 (1),0.8587 (1),-1.0000 (14),0.0 (2),0.0 (2),
836320,garasgaras,24.8820 (31),0.7854 (28),3.5000 (4),0.0 (2),0.0 (2),
835107,GlintAI,25.5411 (23),0.8118 (21),0.5000 (10),0.0 (2),0.0 (2),
833398,LiuerD,24.2230 (37),0.7499 (38),2.0000 (5),1.0 (1),0.0 (2),
833359,xiaozhazha,26.8058 (5),0.8457 (5),-1.0000 (14),0.0 (2),0.0 (2),
828846,Mr.zhang,26.6677 (9),0.8415 (7),-1.0000 (14),0.0 (2),0.0 (2),
827773,yxc1234567539,25.3282 (25),0.8000 (27),1.4000 (6),0.0 (2),0.0 (2),
826300,adityac8,26.1805 (15),0.8343 (10),0.2000 (12),0.0 (2),0.0 (2),
819763,buffalo,25.6876 (20),0.8127 (19),0.5000 (10),0.0 (2),0.0 (2),
818779,wangchy29,25.3941 (24),0.8095 (24),0.4200 (11),0.0 (2),0.0 (2),
816516,zhiwei111,25.7635 (19),0.8043 (25),0.4200 (11),0.0 (2),0.0 (2),
816564,Chicken,25.6150 (21),0.8115 (22),0.5500 (9),0.0 (2),0.0 (2),
816099,tuvovan,25.5998 (22),0.8121 (20),0.5000 (10),0.0 (2),0.0 (2),
809971,YiqunChen1999,24.1902 (38),0.7794 (31),0.6200 (8),0.0 (2),0.0 (2),
802686,DemoZhang,24.9155 (30),0.7761 (32),5.1000 (3),1.0 (1),0.0 (2),
793257,q19911124,24.1890 (39),0.7668 (37),9.0600 (2),1.0 (1),0.0 (2),
778942,vinthony,23.1272 (42),0.7128 (42),1.0000 (7),0.0 (2),0.0 (2),
776240,Zhang9678,25.0454 (29),0.7713 (36),10.4300 (1),1.0 (1),0.0 (2),
775326,pb1997,25.1880 (27),0.8111 (23),0.4200 (11),0.0 (2),0.0 (2),
774302,evelynchee,25.0762 (28),0.8025 (26),2.0000 (5),0.0 (2),0.0 (2),
771468,zhwzhong,25.3235 (26),0.7807 (30),0.4200 (11),0.0 (2),0.0 (2),
1095037,rtqsa002,26.3278 (13),0.8377 (8),-1.0000 (14),-1.0 (3),-1.0 (3),
837413,huxingyu,24.4812 (35),0.7832 (29),-1.0000 (14),-1.0 (3),-1.0 (3),
836717,lime,26.1876 (14),0.8169 (15),-1.0000 (14),-1.0 (3),-1.0 (3),
836646,junyonglee,26.5353 (11),0.8455 (6),0.0000 (13),-1.0 (3),-1.0 (3),
835949,lyyyl,26.1436 (16),0.8160 (16),-1.0000 (14),-1.0 (3),-1.0 (3),
834035,q935970314,26.8078 (4),0.8520 (2),-1.0000 (14),-1.0 (3),-1.0 (3),
833005,IEEE_Pillow,9.7614 (45),0.3470 (45),-1.0000 (14),-1.0 (3),-1.0 (3),
830560,zyxiao,26.9236 (3),0.8368 (9),-1.0000 (14),-1.0 (3),-1.0 (3),
829421,WaterPaper,26.7397 (8),0.8299 (12),-1.0000 (14),-1.0 (3),-1.0 (3),
823631,hellosr,26.0495 (18),0.8147 (18),-1.0000 (14),-1.0 (3),-1.0 (3),
820031,Ruikang_Xu,26.7569 (7),0.8335 (11),-1.0000 (14),-1.0 (3),-1.0 (3),
819312,SingleDog,26.4698 (12),0.8221 (14),-1.0000 (14),-1.0 (3),-1.0 (3),
818773,maradona,26.1210 (17),0.8148 (17),-1.0000 (14),-1.0 (3),-1.0 (3),
816954,JuewenPeng,24.5154 (34),0.7713 (35),-1.0000 (14),-1.0 (3),-1.0 (3),
805086,asdfghjkl,26.6126 (10),0.8287 (13),-1.0000 (14),-1.0 (3),-1.0 (3),
793263,CVRG,24.6312 (32),0.7750 (34),-1.0000 (14),-1.0 (3),-1.0 (3),
786918,sharif_apu,24.6192 (33),0.7751 (33),-1.0000 (14),-1.0 (3),-1.0 (3),
771800,hrishikeshps,22.2178 (43),0.6859 (43),-1.0000 (14),-1.0 (3),-1.0 (3),
768376,Radu,22.2059 (44),0.6669 (44),-1.0000 (14),-1.0 (3),-1.0 (3),
